Job_Title,Skill,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees,Company_Industry
"Data Analyst, Entry Level (Graduate Degree)",Java| Data Mining| Machine Learning| OOP| UI,Paypal,988,3.900000095,30,CA,"10,000+",Banks and Financial Services
Academic Affairs Data Analyst,Qualtrics| Microsoft Office| SQL| HTML5| SPSS| Data Analysis,Georgia Military College,89,4.099999905,20,GA,,Education and Schools
Data Analyst,,CDW,,,1,IL,,
Social Data Analyst,Power BI| SQL,Rational Consulting,,,26,WA,,
Materials Mgmt Data Analyst,ERP Systems,Honeywell,6497,3.799999952,15,TN,"10,000+",Industrial Manufacturing
Bike Share Data Analyst,Analysis Skills| Python,NYC Careers,86,4.099999905,30,NY,,Government
Data Analyst - Allen,Data Mining| SQL,Boss Fight Entertainment,,,30,TX,,
MES Data Analyst,Time Management| Microsoft Office,"Butterball, LLC",509,3.700000048,8,NC,,
Data Analyst Intern,Data Mining| Technical Writing| R| SQL| Excel| Tableau| Confluence| MySQL| Python| Jira,Sony Interactive Entertainment PlayStation,34,3.599999905,4,CA,,Computers and Electronics
Data Analyst,Microsoft SQL Server| Analysis Skills| XML| Crystal Reports| SQL,Clarity USA,,,15,GA,,
Master Data Analyst,ERP Systems| Microsoft Office,Tesla,1445,3.599999905,14,UT,"10,000+",Industrial Manufacturing
Data Analyst,SQL| Excel| Tableau,Mixbook,3,4.300000191,3,CA,,
Data Analyst,Data Analysis,Memorial Sloan Kettering,753,4.199999809,11,NY,"10,000+",Health Care
Research & Data Analyst (Long Term Temporary),Qualitative Research| Excel| Tableau| STATA,King County Housing Authority,14,4,25,WA,,Government
Data Analyst,Financial Accounting| Excel,Columbia University,830,4.099999905,26,NY,,Education and Schools
Data Analyst,TensorFlow| Linux| Data Mining| Machine Learning| R| DynamoDB| CI/CD| SAS| Natural Language Processing| STATA| Git| SPSS| Software Development| Shell Scripting| PostgreSQL| Python| AWS,Commonwealth of Massachusetts,353,3.900000095,30,MA,,Government
Data Analyst I,Machine Learning| Data Science,ZIN TECHNOLOGIES INC.,11,3.799999952,20,OH,,
Data Analyst,SQL| Tableau,DISH,4479,3.299999952,22,CO,"10,000+","Media, News and Publishing"
Data Analyst,Business Intelligence,Masco,450,3.400000095,7,MI,"10,000+",Industrial ManufacturingConstruction
Data Analyst - eCommerce,SQL| Microsoft Access| Leadership Experience,The Wonderful Company LLC,19,3.200000048,19,CA,"Less than 10,000",Consumer Goods and Services
Research Data Analyst,Clinical Trials| SQL,University of California San Francisco,282,4.199999809,30,CA,,Education and Schools
Data Analyst,R| SQL| Tableau| Python,eSpark,2,3,30,CA,,
Business Data Analyst,Data Mining| R| SAS| SQL| Excel,"Health One Alliance, LLC",,,19,GA,,
Health Data Analyst,Microsoft Word| Audits,Teacher Retirement System of Texas,10,2.5,7,TX,"Less than 10,000",Government
Data Analyst,SPSS| Statisical Analysis| Microsoft Office,Emory University,580,4.099999905,30,GA,,Education and Schools
Data Analyst,Microsoft Powerpoint| Project Management| Statisical Analysis| SAS| Tableau,Major League Soccer,24,4.099999905,30,NY,,
Data Analyst,SQL,Brown & Brown Insurance,,,30,CA,,
"Data Analyst- Glendale, CA",Microsoft Word| Microsoft Office| Excel| SQL| Microsoft Access,Fidelity National Financial,576,3.799999952,6,CA,"10,000+",Insurance
GIS DATA ANALYST,"ArcGIS| ""Drivers License""| GIS| Python",City of Tucson,70,3.700000048,19,AZ,,Government
Data Analyst,Data Analysis,General Dynamics Information Technology,4573,3.799999952,21,AR,"10,000+",Aerospace and Defense
Data Analyst-HEDIS & Star,Microsoft SQL Server| SAS| SQL| Microsoft Office| Managed Care,SCAN Health Plan,87,4,8,CA,,Insurance
Data Analyst,Microsoft SQL Server| SQL| Microsoft Access| REST,Alegeus Technologies,14,3.099999905,30,FL,,
Data Analyst,Data Mining| Microsoft SQL Server| SQL,Ciox Health,1119,2.900000095,13,NY,"Less than 10,000",Internet and Software
Data Analyst,Quantitative Analysis| Microsoft Powerpoint| SAS| SQL,BBYO -,,,15,MD,,
Senior Data Analyst,,The Hanover Insurance Group,255,3.799999952,30,MA,"Less than 10,000",Insurance
"Associate Analyst, Data Analytics",Microsoft Powerpoint| Excel,"CMI Media and Compas, Inc.",7,3.599999905,30,NJ,"Less than 10,000",Consulting and Business Services
Data Analyst,,Graphic Products,,,30,OR,,
Data Analyst,Business Intelligence| Excel| Microsoft Office| SQL| Tableau| Data Warehouse| Python,Cresco Labs,3,2.299999952,4,IL,,
Civic Engagement Data Analyst,Data Analysis| Excel,AltaMed,233,3.700000048,5,CA,,Health Care
Data Analyst,Java| R| Python,Capgemini,6072,3.799999952,20,NY,"10,000+",Consulting and Business Services
Data Analyst,Java| R| Python,Capgemini,6072,3.799999952,20,NY,"10,000+",Consulting and Business Services
Data Analyst,Java| R| Python,Capgemini,6072,3.799999952,20,NY,"10,000+",Consulting and Business Services
Data Analyst,Java| R| Python,Capgemini,6072,3.799999952,20,NY,"10,000+",Consulting and Business Services
Data Analyst,Java| R| Python,Capgemini,6072,3.799999952,20,NY,"10,000+",Consulting and Business Services
Data Analyst,Java| R| Python,Capgemini,6072,3.799999952,20,NY,"10,000+",Consulting and Business Services
Listings Data Analyst - New York,,JLL,1887,3.799999952,7,NY,"10,000+",Real Estate
Data Analyst,Data Analysis,Regional One Health,155,3.799999952,5,TN,,
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,2,3,1,MN,"10,000+","Restaurants, Travel and Leisure"
Business Data Analyst,Data Mining| Microsoft SQL Server| Data Warehouse| Microsoft Powerpoint| Data Analysis| SAS| Microsoft Office,Alltran,96,2.700000048,1,MN,"Less than 10,000",Banks and Financial Services
Project Consulting & Data Analyst,Microsoft Powerpoint| Visual Basic| Microsoft Office| Excel| SQL| SharePoint| Visio| Management Consulting,Logic Rule,,,13,WA,,
Data Analyst,Data Analysis,Lutron Electronics,79,3.700000048,30,PA,,Consumer Goods and Services
Data Analyst,Machine Learning| Excel| SQL| Tableau,jump ramp,,,30,NY,,
Data Analyst,SQL,First National Bank of America,17,3.700000048,15,MI,,Banks and Financial Services
"Data Analyst, Users and Products",Ruby| Scripting| Perl| R| C/C++| SQL| Java| Analysis Skills| Management Consulting| Python,Google,2641,4.300000191,30,CO,"10,000+",Internet and Software
research data analyst/statistician,Data Analysis| R| Tableau,Outreach Process Partners,,,23,DC,,
Data Analyst (Public Trust Clearable),Excel| Supply Chain Experience| Tableau,ECS Federal LLC,85,3.599999905,8,MD,,Consulting and Business Services
Associate Data Analyst,SQL| Tableau,Sentry Insurance,258,3.400000095,5,WI,"Less than 10,000",Insurance
Data Analyst,Business Intelligence| Microsoft SQL Server| Data Mining| Oracle| Microsoft Access,WebMD,157,3.599999905,7,NY,"Less than 10,000",Internet and Software
Sr Research Data Analyst,,Johns Hopkins University,645,4.099999905,2,MD,"10,000+",Education and Schools
Environmental Data Analyst,Technical Writing| Statisical Analysis| SQL,AECOM,3457,3.700000048,4,VA,"10,000+",
"Associate Analyst, Data Analytics",Microsoft Powerpoint| Excel,"CMI Media and Compas, Inc.",7,3.599999905,19,PA,"Less than 10,000",Consulting and Business Services
Policy and Data Analyst,,Office of the Nassau County Comptroller,,,30,NY,,
Data Analyst - Health Informatics,XML| SPSS| SAS| SQL,IPRO,31,3.799999952,15,NY,,
Data Analyst - Predictive Modeler,MySQL| Data Mining| Machine Learning| R| SAS| Python| Tableau,Zeta Global,15,3,3,TN,,
Dow Logistics Technology Center Data Analyst,Microsoft Powerpoint| Excel| Microsoft Access| Tableau,The Dow Chemical Company,1270,4,5,LA,"10,000+",Energy and Utilities
Materials Logistics Spec 3/Senior Data Analyst,Microsoft Powerpoint| SAP| Oracle| SQL| Excel| Microsoft Office| Microsoft Access| SharePoint,Siemens,6479,4.099999905,1,NY,"10,000+",Computers and Electronics
Data Analyst Intern,SAS| Oracle| SQL| Tableau,Mid-Atlantic Permanente Medical Group,4,3,18,MD,"Less than 10,000",Health Care
Data Analyst,,Emory University,580,4.099999905,30,GA,,Education and Schools
"Data Analyst (GIS, LiDar, Ortho/Imagery)",MicroStation| CAD| GIS| Basic Computer Skills,GeoDigital,3,3,30,TX,,
Data Analyst,Python,Sigma Space,12,4,18,MD,,
Data Analyst - Pharmacy,,Keck Medical Center of USC,83,4.099999905,30,CA,,Health Care
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,2,3,1,OR,"10,000+","Restaurants, Travel and Leisure"
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,2,3,1,MA,"10,000+","Restaurants, Travel and Leisure"
Data Analyst,,Fruition Partners,7,4.099999905,12,NV,,
DATA ANALYST,Data Analysis| R| SQL,IXIS,,,30,VT,,
Data Analyst,Excel,Alliance Health Professionals,3,4,30,MI,,
Research Data Analyst,R| Python| SQL,"Resource Systems Group, Inc.",,,25,VT,,
Problem Manager/Data Analyst,Six Sigma Certification| ITIL,CompuCom,1613,3.400000095,1,SC,"10,000+",Consulting and Business Services
Healthcare Data Analyst,Data Analysis| SAS| Crystal Reports| SQL| Excel| Microsoft Access,Moda Health,106,3.200000048,5,OR,,
Data Analyst,Microsoft Powerpoint| SPSS| SQL| Excel| Microsoft Office,Germania Insurance,18,4.099999905,30,TX,,Insurance
Healthcare Data Analyst,Data Mining| Data Warehouse| Microsoft Powerpoint| Data Analysis| SQL| Tableau,"Lockton, Inc.",174,4.099999905,6,TX,,Insurance
Data Analyst,Business Intelligence| Data Mining| Data Analysis| Python| SQL,stearns bank,5,2.799999952,6,MN,,Banks and Financial Services
Data Analyst,Microsoft Word| Microsoft SQL Server| Time Management| Microsoft Powerpoint| Business Analysis,Technicolor,1488,3.5,30,CA,,
Data Analyst,Excel,Spy Pond Partners,,,19,MA,,
Metric & Data Analyst,Microsoft Powerpoint| Data Analysis| Microsoft Office| Microsoft Access,Lockheed Martin Corporation,6415,4.099999905,30,TX,"10,000+",Aerospace and Defense
Business Data Analyst,SQL| Microsoft Office,Pinkerton,510,3.599999905,12,CA,"Less than 10,000",Consulting and Business Services
Data Analyst,Business Intelligence| Microsoft Powerpoint| Power BI| SDLC| SAS| Microsoft Office| Tableau,Ukpeagvik Iñupiat Corporation/Bowhead Family of Companies,9,2.900000095,4,DC,,Government
RCM Data Analyst II,Data Analysis| Power BI| SQL,NextGen Healthcare,87,3.400000095,7,MO,"Less than 10,000",Internet and Software
Data Analyst,Microsoft Powerpoint| SPSS| Data Analysis| Statisical Analysis| Quantitative Research| Excel| SQL,UNITED NEGRO COLLEGE FUND,35,3.799999952,21,DC,,
Data Analyst SmartHealth,Excel| SQL| Microsoft Access| Tableau,Ascension Healthcare,457,3.299999952,5,WI,,Health Care
Research Data Analyst,,University of California San Francisco,282,4.199999809,20,CA,,Education and Schools
Data Analyst,,Fitch Group,,,5,IL,,
North American National Accounts and Data Analyst,Power BI| Microsoft Office| Excel| Tableau,"Patagonia, Inc",11,3.900000095,6,NV,"Less than 10,000",Retail
Workforce Data Analyst,Data Analysis,USfalcon,39,4.099999905,30,DC,,
WIC Senior Data Analyst,Business Intelligence| Microsoft SQL Server| Microsoft Powerpoint| Power BI| SQL| Microsoft Office| Tableau| Business Analysis,Texas Health and Human Services Commission,867,3.5,13,TX,,Government
Data Analyst,Google Analytics| SQL,The Motley Fool,20,4.5,30,VA,"Less than 10,000","Media, News and Publishing"
Health Data Analyst,Quantitative Analysis| Data Mining| Microsoft Powerpoint| Microsoft Office,Booz Allen Hamilton,1733,3.900000095,8,MD,"10,000+",Consulting and Business Services
Data Analyst,Microsoft Powerpoint| Visual Basic| R| SAS| Microsoft Office| SQL| Tableau,"Federal Management Systems, Inc.",34,3.900000095,14,MD,,
Associate Data Analyst-Integra,R| Python| SQL,Care New England Health System,33,3.599999905,30,RI,,Health Care
Data Analyst,Oracle| SQL,Capgemini,6072,3.799999952,7,CT,"10,000+",Consulting and Business Services
Data Analyst,Oracle| SQL,Capgemini,6072,3.799999952,6,CT,"10,000+",Consulting and Business Services
Technical Data Analyst,Cerner| Time Management| Microsoft Powerpoint| XML| Power BI| JSON| Microsoft Office,U.S. Anesthesia Partners,45,3.200000048,2,TX,"Less than 10,000",Health Care
Senior Data Analyst,,The University of Pittsburgh,541,4.199999809,1,PA,,Education and Schools
Data Analyst II,Data Warehouse| Data Analysis| SQL| Microsoft Access,Centene,1134,3.299999952,19,CA,"Less than 10,000",InsuranceHealth Care
Data Analytics Analyst,Alteryx| SQL| Excel,Cardinal Health,2722,3.599999905,30,MA,"10,000+",Health Care
Data Analyst,Microsoft Powerpoint| R| SAS| SQL| Microsoft Office| Tableau,Progressive,2080,3.799999952,8,OH,"10,000+",Insurance
QM Data Analyst,SAS| SQL| Tableau| STATA| Data Analysis,Alameda Health Consortium/Community Health Center Network,,,15,CA,,
Data Analyst - Cardiology,,Columbia University,830,4.099999905,30,NY,,Education and Schools
Data Analyst – Healthcare – St. Louis MO,Data Analysis| SAS| Excel| SQL| Microsoft Office,Courtney Raymond Consultants,,,19,MO,,
Data Analyst,Salesforce CRM| Google Analytics,"Facing History and Ourselves, Inc",,,30,MA,,
Data Analyst,Quantitative Analysis| Microsoft Powerpoint| SAS| SQL,BBYO -,,,15,PA,,
Data Analyst,S3| Python| SQL| JSON| AWS,thrivecausemetics.com,,,23,CA,,
Data Analyst,Statisical Analysis| SQL| Tableau,BI Worldwide,45,4,30,MN,,
Research Data Analyst,,University of California San Francisco,282,4.199999809,26,CA,,Education and Schools
Quality Data Analyst,,Altair Engineering,,,2,MI,,
Data Analyst,Data Mining| SQL| Tableau,Advanced ICU Care,20,2.599999905,14,MO,,
Data Analyst,Analysis Skills| Machine Learning| R| Python| Tableau,Lockheed Martin Corporation,6415,4.099999905,30,TX,"10,000+",Aerospace and Defense
Securities Data Analyst,SharePoint| Regulatory Reporting| Microsoft Office,RBC,2904,4.099999905,2,MN,"10,000+",Banks and Financial Services
Data Analyst,Salesforce CRM| R| Tableau,Youth Policy Institute,,,29,CA,"Less than 10,000",Organization
Quality Data Analyst,Quality Management| Microsoft Office,Corning,431,4,10,MA,"10,000+",Construction
Data Analyst - Centrality,Microsoft Powerpoint| Hadoop| Power BI| R| SAS| SQL| Tableau| Alteryx| Python,U.S. Bank,5986,3.700000048,30,MN,"10,000+",Banks and Financial Services
Data Analyst,Statisical Analysis| Excel| Microsoft Office,"AnaVation, LLC",,,15,DC,,
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,2,3,1,MD,"10,000+","Restaurants, Travel and Leisure"
"Data Analyst - Python, SQL",Data Mining| Python| SQL,Stanford University,530,4.300000191,29,CA,"Less than 10,000",Education and Schools
"Data Analyst, Virtual Health",SAS| Oracle| SQL| Tableau,Children's Medical Center,99,3.700000048,30,TX,,Health Care
"Data Analyst, Industry Insights",Time Management| Excel| SQL| Tableau,"TrueCar, Inc.",21,3.400000095,22,CA,,
Data Analyst - Personalized Customer Experience,JavaScript| R| SQL| HTML5| Tableau| Confluence| CSS| Python| Jira,Bose,717,4.199999809,30,MA,,Computers and Electronics
Data Analyst,Data Mining| Statisical Analysis,Ingram Content Group,96,3.200000048,21,TN,"Less than 10,000",
Data Analyst,SAS| Microsoft Office| SQL,Progressive,2080,3.799999952,4,OH,"10,000+",Insurance
Digital Content Data Analyst,Excel| Customer Service| Microsoft Access,The Home Depot,41290,3.799999952,5,GA,"10,000+",RetailConsumer Goods and Services
Data Analyst II,Data Analysis| SQL| Microsoft Access,Centene,1134,3.299999952,21,MO,"Less than 10,000",InsuranceHealth Care
Data Analyst II,Data Analysis| SQL| Microsoft Access,Centene,1134,3.299999952,22,MO,"Less than 10,000",InsuranceHealth Care
Data Analyst - Content Team,SQL| Data Analysis,Twitch,44,4.5,30,CA,"Less than 10,000","Media, News and Publishing"
"Data Analyst- Sales Tools- Bothell, WA",,Fruition Partners,7,4.099999905,4,WA,,
Data Analyst_ HIM,Microsoft Powerpoint| Microsoft Office,Renown Health,118,3.299999952,28,NV,"Less than 10,000",Health Care
Listings Data Analyst - Los Angeles,,JLL,1887,3.799999952,7,CA,"10,000+",Real Estate
"Consulting Data Analyst - Epidemiology, Bio-statistics, SAS,...",,Kaiser Permanente,8164,4.199999809,8,CA,"10,000+",Health Care
"Data Analyst- Sales Tools- Bothell, WA",,DXC,1642,3.299999952,4,WA,,Internet and Software
Data Analyst,R| SAS| Statisical Analysis| SQL| Microsoft Office| Microsoft Access| STATA,Central Health,,,30,TX,,
Data Analyst,Data Mining| SQL| Microsoft Office| Tableau| Data Analysis,Western National Insurance Group,3,2,30,MN,,Insurance
Minneapolis Promise Zone-Research & Data Analyst,Tableau,AmeriCorps,2094,4.400000095,30,MN,,Government
Data Analyst,Excel| SQL,Gaylord Specialty Healthcare,17,4,30,CT,,Health Care
Data Analyst,Microsoft Office,Housing Works,133,3.900000095,30,NY,,Organization
Data Analyst,,Comprehensive Healthcare,18,4.199999809,19,WA,"Less than 10,000",Health Care
Data Analyst (Clinical Analytics),Epic| Medical Terminology| Data Analysis,Stormont-Vail Healthcare,62,4.099999905,8,KS,"Less than 10,000",Health Care
