"playerid","birthyear","birthmonth","birthday","birthcountry","birthstate","birthcity","deathyear","deathmonth","deathday","deathcountry","deathstate","deathcity","namefirst","namelast","namegiven","weight","height","bats","throws","debut","finalgame","retroid","bbrefid","yearid","votedby","ballots","needed","votes","inducted","category","needed_note"
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1991,"BBWAA",443,333,59,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1992,"BBWAA",430,323,69,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1993,"BBWAA",423,318,70,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1994,"BBWAA",456,342,66,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1995,"BBWAA",460,345,72,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1996,"BBWAA",470,353,89,"N","Player",NULL
"allendi01",1942,3,8,"USA","PA","Wampum",NULL,NULL,NULL,NULL,NULL,NULL,"Dick","Allen","Richard Anthony",187,"71","R","R","1963-09-03","1977-06-19","alled101","allendi01",1997,"BBWAA",473,353,79,"N","Player",NULL
"allenjo02",1904,9,30,"USA","NC","Lenoir",1959,5,29,"USA","FL","St. Petersburg","Johnny","Allen","John Thomas",180,"72","R","R","1932-04-19","1944-09-26","allej102","allenjo02",1955,"BBWAA",251,189,1,"N","Player",NULL
"alleyge01",1940,7,10,"USA","VA","Richmond",NULL,NULL,NULL,NULL,NULL,NULL,"Gene","Alley","Leonard Eugene",160,"70","R","R","1963-09-04","1973-09-27","alleg101","alleyge01",1979,"BBWAA",432,324,0,"N","Player",NULL
"allisdo01",1846,7,12,"USA","PA","Philadelphia",1916,12,19,"USA","DC","Washington","Doug","Allison","Douglas L.",160,"70","R","R","1871-05-05","1883-07-13","allid101","allisdo01",1936,"Veterans",78,59,1,"N","Player",NULL
"alomaro01",1968,2,5,"P.R.",NULL,"Ponce",NULL,NULL,NULL,NULL,NULL,NULL,"Roberto","Alomar","Roberto",184,"72","B","R","1988-04-22","2004-09-05","alomr001","alomaro01",2010,"BBWAA",539,405,397,"N","Player",NULL
"alomaro01",1968,2,5,"P.R.",NULL,"Ponce",NULL,NULL,NULL,NULL,NULL,NULL,"Roberto","Alomar","Roberto",184,"72","B","R","1988-04-22","2004-09-05","alomr001","alomaro01",2011,"BBWAA",581,436,523,"Y","Player",NULL
"alomasa02",1966,6,18,"P.R.",NULL,"Salinas",NULL,NULL,NULL,NULL,NULL,NULL,"Sandy","Alomar","Santos",200,"77","R","R","1988-09-30","2007-09-30","aloms001","alomasa02",2013,"BBWAA",569,427,16,"N","Player",NULL
"aloufe01",1935,5,12,"D.R.","San Cristobal","Bajos de Haina",NULL,NULL,NULL,NULL,NULL,NULL,"Felipe","Alou","Felipe Rojas",195,"72","R","R","1958-06-08","1974-04-24","alouf101","aloufe01",1980,"BBWAA",385,289,3,"N","Player",NULL
"alouje01",1942,3,24,"D.R.","San Cristobal","Bajos de Haina",NULL,NULL,NULL,NULL,NULL,NULL,"Jesus","Alou","Jesus Maria Rojas",190,"74","R","R","1963-09-10","1979-09-29","alouj101","alouje01",1985,"BBWAA",395,297,1,"N","Player",NULL
"alouma01",1938,12,22,"D.R.","San Cristobal","Bajos de Haina",2011,11,3,"D.R.","Distrito Nacional","Santo Domingo","Matty","Alou","Mateo Rojas",160,"69","L","L","1960-09-26","1974-06-21","aloum101","alouma01",1980,"BBWAA",385,289,5,"N","Player",NULL
"aloumo01",1966,7,3,"USA","GA","Atlanta",NULL,NULL,NULL,NULL,NULL,NULL,"Moises","Alou","Moises Rojas",185,"75","R","R","1990-07-26","2008-06-10","aloum001","aloumo01",2014,"BBWAA",571,429,6,"N","Player",NULL
"alstowa01",1911,12,1,"USA","OH","Venice",1984,10,1,"USA","OH","Oxford","Walter","Alston","Walter Emmons",195,"74","R","R","1936-09-27","1936-09-27","alstw101","alstowa01",1983,"Veterans",NULL,NULL,NULL,"Y","Manager",NULL
"altroni01",1876,9,15,"USA","OH","Cincinnati",1965,1,20,"USA","DC","Washington","Nick","Altrock","Nicholas",197,"70","B","L","1898-07-14","1933-10-01","altrn101","altroni01",1937,"BBWAA",201,151,3,"N","Player",NULL
"altroni01",1876,9,15,"USA","OH","Cincinnati",1965,1,20,"USA","DC","Washington","Nick","Altrock","Nicholas",197,"70","B","L","1898-07-14","1933-10-01","altrn101","altroni01",1938,"BBWAA",262,197,7,"N","Player",NULL
"altroni01",1876,9,15,"USA","OH","Cincinnati",1965,1,20,"USA","DC","Washington","Nick","Altrock","Nicholas",197,"70","B","L","1898-07-14","1933-10-01","altrn101","altroni01",1939,"BBWAA",274,206,6,"N","Player",NULL
"altroni01",1876,9,15,"USA","OH","Cincinnati",1965,1,20,"USA","DC","Washington","Nick","Altrock","Nicholas",197,"70","B","L","1898-07-14","1933-10-01","altrn101","altroni01",1953,"BBWAA",264,198,1,"N","Player",NULL
"altroni01",1876,9,15,"USA","OH","Cincinnati",1965,1,20,"USA","DC","Washington","Nick","Altrock","Nicholas",197,"70","B","L","1898-07-14","1933-10-01","altrn101","altroni01",1954,"BBWAA",252,189,2,"N","Player",NULL
"altroni01",1876,9,15,"USA","OH","Cincinnati",1965,1,20,"USA","DC","Washington","Nick","Altrock","Nicholas",197,"70","B","L","1898-07-14","1933-10-01","altrn101","altroni01",1956,"BBWAA",193,145,1,"N","Player",NULL
"altroni01",1876,9,15,"USA","OH","Cincinnati",1965,1,20,"USA","DC","Washington","Nick","Altrock","Nicholas",197,"70","B","L","1898-07-14","1933-10-01","altrn101","altroni01",1958,"BBWAA",266,200,20,"N","Player",NULL
"altroni01",1876,9,15,"USA","OH","Cincinnati",1965,1,20,"USA","DC","Washington","Nick","Altrock","Nicholas",197,"70","B","L","1898-07-14","1933-10-01","altrn101","altroni01",1960,"BBWAA",269,202,18,"N","Player",NULL
"anderbr01",1964,1,18,"USA","MD","Silver Spring",NULL,NULL,NULL,NULL,NULL,NULL,"Brady","Anderson","Brady Kevin",170,"73","L","L","1988-04-04","2002-05-20","andeb001","anderbr01",2008,"BBWAA",543,408,0,"N","Player",NULL
"anderga01",1972,6,30,"USA","CA","Los Angeles",NULL,NULL,NULL,NULL,NULL,NULL,"Garret","Anderson","Garret Joseph",190,"75","L","L","1994-07-27","2010-08-06","andeg001","anderga01",2016,"BBWAA",440,330,1,"N","Player",NULL
"andersp01",1934,2,22,"USA","SD","Bridgewater",2010,11,4,"USA","CA","Thousand Oaks","Sparky","Anderson","George Lee",170,"69","R","R","1959-04-10","1959-09-27","andes101","andersp01",2000,"Veterans",NULL,NULL,NULL,"Y","Manager",NULL
"ansonca01",1852,4,17,"USA","IA","Marshalltown",1922,4,14,"USA","IL","Chicago","Cap","Anson","Adrian Constantine",227,"72","R","R","1871-05-06","1897-10-03","ansoc101","ansonca01",1936,"Veterans",78,59,39,"N","Player",NULL
"ansonca01",1852,4,17,"USA","IA","Marshalltown",1922,4,14,"USA","IL","Chicago","Cap","Anson","Adrian Constantine",227,"72","R","R","1871-05-06","1897-10-03","ansoc101","ansonca01",1939,"Old Timers",NULL,NULL,NULL,"Y","Player",NULL
"aparilu01",1934,4,29,"Venezuela","Zulia","Maracaibo",NULL,NULL,NULL,NULL,NULL,NULL,"Luis","Aparicio","Luis Ernesto",160,"69","R","R","1956-04-17","1973-09-28","aparl101","aparilu01",1979,"BBWAA",432,324,120,"N","Player",NULL
"aparilu01",1934,4,29,"Venezuela","Zulia","Maracaibo",NULL,NULL,NULL,NULL,NULL,NULL,"Luis","Aparicio","Luis Ernesto",160,"69","R","R","1956-04-17","1973-09-28","aparl101","aparilu01",1980,"BBWAA",385,289,124,"N","Player",NULL
"aparilu01",1934,4,29,"Venezuela","Zulia","Maracaibo",NULL,NULL,NULL,NULL,NULL,NULL,"Luis","Aparicio","Luis Ernesto",160,"69","R","R","1956-04-17","1973-09-28","aparl101","aparilu01",1981,"BBWAA",401,301,148,"N","Player",NULL
"aparilu01",1934,4,29,"Venezuela","Zulia","Maracaibo",NULL,NULL,NULL,NULL,NULL,NULL,"Luis","Aparicio","Luis Ernesto",160,"69","R","R","1956-04-17","1973-09-28","aparl101","aparilu01",1982,"BBWAA",415,312,174,"N","Player",NULL
"aparilu01",1934,4,29,"Venezuela","Zulia","Maracaibo",NULL,NULL,NULL,NULL,NULL,NULL,"Luis","Aparicio","Luis Ernesto",160,"69","R","R","1956-04-17","1973-09-28","aparl101","aparilu01",1983,"BBWAA",374,281,252,"N","Player",NULL
"aparilu01",1934,4,29,"Venezuela","Zulia","Maracaibo",NULL,NULL,NULL,NULL,NULL,NULL,"Luis","Aparicio","Luis Ernesto",160,"69","R","R","1956-04-17","1973-09-28","aparl101","aparilu01",1984,"BBWAA",403,303,341,"Y","Player",NULL
"appieke01",1967,12,6,"USA","CA","Lancaster",NULL,NULL,NULL,NULL,NULL,NULL,"Kevin","Appier","Robert Kevin",180,"74","R","R","1989-06-04","2004-04-23","appik001","appieke01",2010,"BBWAA",539,405,1,"N","Player",NULL
"applilu01",1907,4,2,"USA","NC","High Point",1991,1,3,"USA","GA","Cumming","Luke","Appling","Lucius Benjamin",183,"70","R","R","1930-09-10","1950-10-01","appll101","applilu01",1953,"BBWAA",264,198,2,"N","Player",NULL
"applilu01",1907,4,2,"USA","NC","High Point",1991,1,3,"USA","GA","Cumming","Luke","Appling","Lucius Benjamin",183,"70","R","R","1930-09-10","1950-10-01","appll101","applilu01",1955,"BBWAA",251,189,3,"N","Player",NULL
"applilu01",1907,4,2,"USA","NC","High Point",1991,1,3,"USA","GA","Cumming","Luke","Appling","Lucius Benjamin",183,"70","R","R","1930-09-10","1950-10-01","appll101","applilu01",1956,"BBWAA",193,145,14,"N","Player",NULL
"applilu01",1907,4,2,"USA","NC","High Point",1991,1,3,"USA","GA","Cumming","Luke","Appling","Lucius Benjamin",183,"70","R","R","1930-09-10","1950-10-01","appll101","applilu01",1958,"BBWAA",266,200,77,"N","Player",NULL
"applilu01",1907,4,2,"USA","NC","High Point",1991,1,3,"USA","GA","Cumming","Luke","Appling","Lucius Benjamin",183,"70","R","R","1930-09-10","1950-10-01","appll101","applilu01",1960,"BBWAA",269,202,72,"N","Player",NULL
"applilu01",1907,4,2,"USA","NC","High Point",1991,1,3,"USA","GA","Cumming","Luke","Appling","Lucius Benjamin",183,"70","R","R","1930-09-10","1950-10-01","appll101","applilu01",1962,"BBWAA",160,120,48,"N","Player",NULL
"applilu01",1907,4,2,"USA","NC","High Point",1991,1,3,"USA","GA","Cumming","Luke","Appling","Lucius Benjamin",183,"70","R","R","1930-09-10","1950-10-01","appll101","applilu01",1964,"BBWAA",201,151,142,"N","Player",NULL
"applilu01",1907,4,2,"USA","NC","High Point",1991,1,3,"USA","GA","Cumming","Luke","Appling","Lucius Benjamin",183,"70","R","R","1930-09-10","1950-10-01","appll101","applilu01",1964,"Run Off",201,NULL,189,"Y","Player","1st"
"archeji01",1883,5,13,"Ireland","Dublin","Dublin",1958,3,29,"USA","WI","Milwaukee","Jimmy","Archer","James Patrick",168,"70","R","R","1904-09-06","1918-09-02","archj102","archeji01",1937,"BBWAA",201,151,6,"N","Player",NULL
"archeji01",1883,5,13,"Ireland","Dublin","Dublin",1958,3,29,"USA","WI","Milwaukee","Jimmy","Archer","James Patrick",168,"70","R","R","1904-09-06","1918-09-02","archj102","archeji01",1938,"BBWAA",262,197,7,"N","Player",NULL
"archeji01",1883,5,13,"Ireland","Dublin","Dublin",1958,3,29,"USA","WI","Milwaukee","Jimmy","Archer","James Patrick",168,"70","R","R","1904-09-06","1918-09-02","archj102","archeji01",1939,"BBWAA",274,206,3,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1968,"BBWAA",283,213,6,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1969,"BBWAA",340,255,10,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1970,"BBWAA",300,225,11,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1971,"BBWAA",360,270,10,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1972,"BBWAA",396,297,11,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1973,"BBWAA",380,285,25,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1974,"BBWAA",365,274,56,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1975,"BBWAA",362,272,76,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1976,"BBWAA",388,291,85,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1977,"BBWAA",383,288,139,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1978,"BBWAA",379,285,158,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1979,"BBWAA",432,324,130,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1980,"BBWAA",385,289,134,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1981,"BBWAA",401,301,142,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1982,"BBWAA",415,312,126,"N","Player",NULL
"ashburi01",1927,3,19,"USA","NE","Tilden",1997,9,9,"USA","NY","New York","Richie","Ashburn","Don Richard",170,"70","L","R","1948-04-20","1962-09-30","ashbr101","ashburi01",1995,"Veterans",NULL,NULL,NULL,"Y","Player",NULL
"aurilri01",1971,9,2,"USA","NY","Brooklyn",NULL,NULL,NULL,NULL,NULL,NULL,"Rich","Aurilia","Richard Santo",170,"72","R","R","1995-09-06","2009-10-04","aurir001","aurilri01",2015,"BBWAA",549,412,0,"N","Player",NULL
"ausmubr01",1969,4,14,"USA","CT","New Haven",NULL,NULL,NULL,NULL,NULL,NULL,"Brad","Ausmus","Bradley David",190,"71","R","R","1993-07-28","2010-10-03","ausmb001","ausmubr01",2016,"BBWAA",440,330,0,"N","Player",NULL
"austiji01",1879,12,8,"United Kingdom","Swansea","Swansea",1965,3,6,"USA","CA","Laguna Beach","Jimmy","Austin","James Philip",155,"67","B","R","1909-04-19","1929-10-06","austj101","austiji01",1958,"BBWAA",266,200,1,"N","Player",NULL
"averiea01",1902,5,21,"USA","WA","Snohomish",1983,8,16,"USA","WA","Everett","Earl","Averill","Howard Earl",172,"69","L","R","1929-04-16","1941-04-25","avere101","averiea01",1949,"BBWAA",153,115,1,"N","Player",NULL
"averiea01",1902,5,21,"USA","WA","Snohomish",1983,8,16,"USA","WA","Everett","Earl","Averill","Howard Earl",172,"69","L","R","1929-04-16","1941-04-25","avere101","averiea01",1952,"BBWAA",234,176,2,"N","Player",NULL
"averiea01",1902,5,21,"USA","WA","Snohomish",1983,8,16,"USA","WA","Everett","Earl","Averill","Howard Earl",172,"69","L","R","1929-04-16","1941-04-25","avere101","averiea01",1955,"BBWAA",251,189,2,"N","Player",NULL
"averiea01",1902,5,21,"USA","WA","Snohomish",1983,8,16,"USA","WA","Everett","Earl","Averill","Howard Earl",172,"69","L","R","1929-04-16","1941-04-25","avere101","averiea01",1956,"BBWAA",193,145,3,"N","Player",NULL
"averiea01",1902,5,21,"USA","WA","Snohomish",1983,8,16,"USA","WA","Everett","Earl","Averill","Howard Earl",172,"69","L","R","1929-04-16","1941-04-25","avere101","averiea01",1958,"BBWAA",266,200,14,"N","Player",NULL
"averiea01",1902,5,21,"USA","WA","Snohomish",1983,8,16,"USA","WA","Everett","Earl","Averill","Howard Earl",172,"69","L","R","1929-04-16","1941-04-25","avere101","averiea01",1960,"BBWAA",269,202,11,"N","Player",NULL
"averiea01",1902,5,21,"USA","WA","Snohomish",1983,8,16,"USA","WA","Everett","Earl","Averill","Howard Earl",172,"69","L","R","1929-04-16","1941-04-25","avere101","averiea01",1962,"BBWAA",160,120,3,"N","Player",NULL
