system,system_name,school,school_name,pool,designation_ineligible,subgroup,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa
10,Anderson County,10,Briceville Elementary,K8,0,Economically Disadvantaged,2,3,4,,,
10,Anderson County,10,Briceville Elementary,K8,0,Hispanic,,,,,,
10,Anderson County,10,Briceville Elementary,K8,0,Students with Disabilities,,4,4,,,
10,Anderson County,10,Briceville Elementary,K8,,Subgroups,2,3.5,4,,,
10,Anderson County,10,Briceville Elementary,K8,0,Super Subgroup,2,3,,,,
10,Anderson County,10,Briceville Elementary,K8,0,White,2,3,4,,,
10,Anderson County,15,Claxton Elementary,K8,0,All Students,2,3,4,,,
10,Anderson County,15,Claxton Elementary,K8,0,American Indian or Alaska Native,,,,,,
10,Anderson County,15,Claxton Elementary,K8,0,Asian,,,,,,
10,Anderson County,15,Claxton Elementary,K8,0,Black or African American,,,,,,
10,Anderson County,15,Claxton Elementary,K8,0,Black/Hispanic/Native American,,2,4,,,
10,Anderson County,15,Claxton Elementary,K8,0,Economically Disadvantaged,2,3,4,,,
10,Anderson County,15,Claxton Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,15,Claxton Elementary,K8,0,Hispanic,,,,,,
10,Anderson County,15,Claxton Elementary,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
10,Anderson County,15,Claxton Elementary,K8,0,Students with Disabilities,2,2,4,,,
10,Anderson County,15,Claxton Elementary,K8,,Subgroups,2,2.333333333,4,,,
10,Anderson County,15,Claxton Elementary,K8,0,Super Subgroup,2,3,,,,
10,Anderson County,15,Claxton Elementary,K8,0,White,2,4,4,,,
10,Anderson County,20,Clinton Middle School,K8,0,All Students,2,0,2,,,
10,Anderson County,20,Clinton Middle School,K8,0,American Indian or Alaska Native,,,,,,
10,Anderson County,20,Clinton Middle School,K8,0,Asian,,,,,,
10,Anderson County,20,Clinton Middle School,K8,0,Black or African American,2,1,2,,,
10,Anderson County,20,Clinton Middle School,K8,0,Black/Hispanic/Native American,2,2,4,,,
10,Anderson County,20,Clinton Middle School,K8,0,Economically Disadvantaged,2,0,3,,,
10,Anderson County,20,Clinton Middle School,K8,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,20,Clinton Middle School,K8,0,Hispanic,,3,,,,
10,Anderson County,20,Clinton Middle School,K8,0,Students with Disabilities,0,2,2,,,
10,Anderson County,20,Clinton Middle School,K8,,Subgroups,1.333333333,1.333333333,3,,,
10,Anderson County,20,Clinton Middle School,K8,0,Super Subgroup,1,0,,,,
10,Anderson County,20,Clinton Middle School,K8,0,White,2,0,2,,,
10,Anderson County,25,Clinton High School,HS,0,All Students,3,2,4,4,3,
10,Anderson County,25,Clinton High School,HS,0,American Indian or Alaska Native,,,,,,
10,Anderson County,25,Clinton High School,HS,0,Asian,,,,,,
10,Anderson County,25,Clinton High School,HS,0,Black or African American,2,0,4,,,
10,Anderson County,25,Clinton High School,HS,0,Black/Hispanic/Native American,3,0,4,,,
10,Anderson County,25,Clinton High School,HS,0,Economically Disadvantaged,3,2,4,3,0,
10,Anderson County,25,Clinton High School,HS,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,25,Clinton High School,HS,0,Hispanic,,,,,,
10,Anderson County,25,Clinton High School,HS,0,Students with Disabilities,2,2,4,4,0,
10,Anderson County,25,Clinton High School,HS,,Subgroups,2.666666667,1.333333333,4,3.5,0,
10,Anderson County,25,Clinton High School,HS,0,Super Subgroup,3,2,,,0,
10,Anderson County,25,Clinton High School,HS,0,White,3,2,4,4,3,
10,Anderson County,35,Dutch Valley Elementary,K8,0,All Students,2,1,4,,,
10,Anderson County,35,Dutch Valley Elementary,K8,0,American Indian or Alaska Native,,,,,,
10,Anderson County,35,Dutch Valley Elementary,K8,0,Asian,,,,,,
10,Anderson County,35,Dutch Valley Elementary,K8,0,Black or African American,,,,,,
10,Anderson County,35,Dutch Valley Elementary,K8,0,Black/Hispanic/Native American,,,,,,
10,Anderson County,35,Dutch Valley Elementary,K8,0,Economically Disadvantaged,,2,4,,,
10,Anderson County,35,Dutch Valley Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,35,Dutch Valley Elementary,K8,0,Hispanic,,,,,,
10,Anderson County,35,Dutch Valley Elementary,K8,0,Students with Disabilities,,,,,,
10,Anderson County,35,Dutch Valley Elementary,K8,,Subgroups,,2,4,,,
10,Anderson County,35,Dutch Valley Elementary,K8,0,Super Subgroup,,1,,,,
10,Anderson County,35,Dutch Valley Elementary,K8,0,White,2,0,4,,,
10,Anderson County,40,Fairview Elementary,K8,0,All Students,4,4,4,,,
10,Anderson County,40,Fairview Elementary,K8,0,Asian,,,,,,
10,Anderson County,40,Fairview Elementary,K8,0,Black or African American,,,,,,
10,Anderson County,40,Fairview Elementary,K8,0,Black/Hispanic/Native American,,,,,,
10,Anderson County,40,Fairview Elementary,K8,0,Economically Disadvantaged,4,4,3,,,
10,Anderson County,40,Fairview Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,40,Fairview Elementary,K8,0,Hispanic,,,,,,
10,Anderson County,40,Fairview Elementary,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
10,Anderson County,40,Fairview Elementary,K8,0,Students with Disabilities,3,2,4,,,
10,Anderson County,40,Fairview Elementary,K8,,Subgroups,3.5,3,3.5,,,
10,Anderson County,40,Fairview Elementary,K8,0,Super Subgroup,4,4,,,,
10,Anderson County,40,Fairview Elementary,K8,0,White,4,4,4,,,
10,Anderson County,46,Grand Oaks Elementary,K8,0,All Students,4,4,4,,,
10,Anderson County,46,Grand Oaks Elementary,K8,0,American Indian or Alaska Native,,,,,,
10,Anderson County,46,Grand Oaks Elementary,K8,0,Black or African American,,,,,,
10,Anderson County,46,Grand Oaks Elementary,K8,0,Black/Hispanic/Native American,,,,,,
10,Anderson County,46,Grand Oaks Elementary,K8,0,Economically Disadvantaged,3,4,4,,,
10,Anderson County,46,Grand Oaks Elementary,K8,0,Hispanic,,,,,,
10,Anderson County,46,Grand Oaks Elementary,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
10,Anderson County,46,Grand Oaks Elementary,K8,0,Students with Disabilities,,2,4,,,
10,Anderson County,46,Grand Oaks Elementary,K8,,Subgroups,3,3,4,,,
10,Anderson County,46,Grand Oaks Elementary,K8,0,Super Subgroup,3,4,,,,
10,Anderson County,46,Grand Oaks Elementary,K8,0,White,3,4,4,,,
10,Anderson County,50,Lake City Elementary,K8,0,All Students,3,2,4,,,
10,Anderson County,50,Lake City Elementary,K8,0,American Indian or Alaska Native,,,,,,
10,Anderson County,50,Lake City Elementary,K8,0,Asian,,,,,,
10,Anderson County,50,Lake City Elementary,K8,0,Black or African American,,,,,,
10,Anderson County,50,Lake City Elementary,K8,0,Black/Hispanic/Native American,,,,,,
10,Anderson County,50,Lake City Elementary,K8,0,Economically Disadvantaged,3,3,4,,,
10,Anderson County,50,Lake City Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,50,Lake City Elementary,K8,0,Hispanic,,,,,,
10,Anderson County,50,Lake City Elementary,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
10,Anderson County,50,Lake City Elementary,K8,0,Students with Disabilities,2,2,1,,,
10,Anderson County,50,Lake City Elementary,K8,,Subgroups,2.5,2.5,2.5,,,
10,Anderson County,50,Lake City Elementary,K8,0,Super Subgroup,3,2,,,,
10,Anderson County,50,Lake City Elementary,K8,0,White,2,2,4,,,
10,Anderson County,55,Lake City Middle School,K8,0,All Students,2,4,4,,,
10,Anderson County,55,Lake City Middle School,K8,0,American Indian or Alaska Native,,,,,,
10,Anderson County,55,Lake City Middle School,K8,0,Asian,,,,,,
10,Anderson County,55,Lake City Middle School,K8,0,Black or African American,,,,,,
10,Anderson County,55,Lake City Middle School,K8,0,Black/Hispanic/Native American,,,,,,
10,Anderson County,55,Lake City Middle School,K8,0,Economically Disadvantaged,2,4,4,,,
10,Anderson County,55,Lake City Middle School,K8,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,55,Lake City Middle School,K8,0,Hispanic,,,,,,
10,Anderson County,55,Lake City Middle School,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
10,Anderson County,55,Lake City Middle School,K8,0,Students with Disabilities,1,4,4,,,
10,Anderson County,55,Lake City Middle School,K8,,Subgroups,1.5,4,4,,,
10,Anderson County,55,Lake City Middle School,K8,0,Super Subgroup,2,4,,,,
10,Anderson County,55,Lake City Middle School,K8,0,White,2,4,4,,,
10,Anderson County,70,Norris Elementary,K8,0,All Students,4,2,4,,,
10,Anderson County,70,Norris Elementary,K8,0,Asian,,,,,,
10,Anderson County,70,Norris Elementary,K8,0,Black or African American,,,,,,
10,Anderson County,70,Norris Elementary,K8,0,Black/Hispanic/Native American,,,,,,
10,Anderson County,70,Norris Elementary,K8,0,Economically Disadvantaged,,2,4,,,
10,Anderson County,70,Norris Elementary,K8,0,Hispanic,,,,,,
10,Anderson County,70,Norris Elementary,K8,0,Students with Disabilities,,,,,,
10,Anderson County,70,Norris Elementary,K8,,Subgroups,,2,4,,,
10,Anderson County,70,Norris Elementary,K8,0,Super Subgroup,,1,,,,
10,Anderson County,70,Norris Elementary,K8,0,White,4,2,4,,,
10,Anderson County,75,Norris Middle School,K8,0,All Students,3,4,3,,,
10,Anderson County,75,Norris Middle School,K8,0,American Indian or Alaska Native,,,,,,
10,Anderson County,75,Norris Middle School,K8,0,Asian,,,,,,
10,Anderson County,75,Norris Middle School,K8,0,Black or African American,,,,,,
10,Anderson County,75,Norris Middle School,K8,0,Black/Hispanic/Native American,,3,,,,
10,Anderson County,75,Norris Middle School,K8,0,Economically Disadvantaged,3,4,4,,,
10,Anderson County,75,Norris Middle School,K8,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,75,Norris Middle School,K8,0,Hispanic,,,,,,
10,Anderson County,75,Norris Middle School,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
10,Anderson County,75,Norris Middle School,K8,0,Students with Disabilities,1,4,4,,,
10,Anderson County,75,Norris Middle School,K8,,Subgroups,2,3.666666667,4,,,
10,Anderson County,75,Norris Middle School,K8,0,Super Subgroup,2,4,,,,
10,Anderson County,75,Norris Middle School,K8,0,White,3,4,4,,,
10,Anderson County,80,Norwood Elementary,K8,0,All Students,2,3,4,,,
10,Anderson County,80,Norwood Elementary,K8,0,American Indian or Alaska Native,,,,,,
10,Anderson County,80,Norwood Elementary,K8,0,Asian,,,,,,
10,Anderson County,80,Norwood Elementary,K8,0,Black or African American,,,,,,
10,Anderson County,80,Norwood Elementary,K8,0,Black/Hispanic/Native American,,,,,,
10,Anderson County,80,Norwood Elementary,K8,0,Economically Disadvantaged,2,3,4,,,
10,Anderson County,80,Norwood Elementary,K8,0,Hispanic,,,,,,
10,Anderson County,80,Norwood Elementary,K8,0,Students with Disabilities,,2,2,,,
10,Anderson County,80,Norwood Elementary,K8,,Subgroups,2,2.5,3,,,
10,Anderson County,80,Norwood Elementary,K8,0,Super Subgroup,2,3,,,,
10,Anderson County,80,Norwood Elementary,K8,0,White,3,3,4,,,
10,Anderson County,85,Norwood Middle School,K8,0,All Students,3,4,4,,,
10,Anderson County,85,Norwood Middle School,K8,0,American Indian or Alaska Native,,,,,,
10,Anderson County,85,Norwood Middle School,K8,0,Asian,,,,,,
10,Anderson County,85,Norwood Middle School,K8,0,Black or African American,,,,,,
10,Anderson County,85,Norwood Middle School,K8,0,Black/Hispanic/Native American,,2,,,,
10,Anderson County,85,Norwood Middle School,K8,0,Economically Disadvantaged,3,4,2,,,
10,Anderson County,85,Norwood Middle School,K8,0,English Learners with Transitional 1-4,,,,,,
10,Anderson County,85,Norwood Middle School,K8,0,Hispanic,,,,,,
10,Anderson County,85,Norwood Middle School,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
10,Anderson County,85,Norwood Middle School,K8,0,Students with Disabilities,2,4,4,,,
10,Anderson County,85,Norwood Middle School,K8,,Subgroups,2.5,3.333333333,3,,,
10,Anderson County,85,Norwood Middle School,K8,0,Super Subgroup,2,4,,,,
10,Anderson County,85,Norwood Middle School,K8,0,White,3,3,4,,,
11,Clinton,5,Clinton Elementary,K8,0,All Students,4,3,3,,,
11,Clinton,5,Clinton Elementary,K8,0,American Indian or Alaska Native,,,,,,
11,Clinton,5,Clinton Elementary,K8,0,Asian,,,,,,
11,Clinton,5,Clinton Elementary,K8,0,Black or African American,,2,2,,,
11,Clinton,5,Clinton Elementary,K8,0,Black/Hispanic/Native American,3,3,3,,,
11,Clinton,5,Clinton Elementary,K8,0,Economically Disadvantaged,3,3,2,,,
11,Clinton,5,Clinton Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
11,Clinton,5,Clinton Elementary,K8,0,Hispanic,,,,,,
11,Clinton,5,Clinton Elementary,K8,0,Students with Disabilities,,2,4,,,
11,Clinton,5,Clinton Elementary,K8,,Subgroups,3,2.666666667,3,,,
11,Clinton,5,Clinton Elementary,K8,0,Super Subgroup,3,3,,,,
11,Clinton,5,Clinton Elementary,K8,0,White,4,3,3,,,
11,Clinton,10,North Clinton Elementary,K8,0,All Students,2,2,2,,,
11,Clinton,10,North Clinton Elementary,K8,0,Asian,,,,,,
11,Clinton,10,North Clinton Elementary,K8,0,Black or African American,,,,,,
11,Clinton,10,North Clinton Elementary,K8,0,Black/Hispanic/Native American,,,,,,
11,Clinton,10,North Clinton Elementary,K8,0,Economically Disadvantaged,2,2,2,,,
11,Clinton,10,North Clinton Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
11,Clinton,10,North Clinton Elementary,K8,0,Hispanic,,,,,,
11,Clinton,10,North Clinton Elementary,K8,0,Students with Disabilities,,,4,,,
11,Clinton,10,North Clinton Elementary,K8,,Subgroups,2,2,3,,,
11,Clinton,10,North Clinton Elementary,K8,0,Super Subgroup,2,2,,,,
11,Clinton,10,North Clinton Elementary,K8,0,White,2,2,2,,,
11,Clinton,15,South Clinton Elementary,K8,0,All Students,4,2,4,,,
11,Clinton,15,South Clinton Elementary,K8,0,American Indian or Alaska Native,,,,,,
11,Clinton,15,South Clinton Elementary,K8,0,Asian,,,,,,
11,Clinton,15,South Clinton Elementary,K8,0,Black or African American,,,,,,
11,Clinton,15,South Clinton Elementary,K8,0,Black/Hispanic/Native American,,,,,,
11,Clinton,15,South Clinton Elementary,K8,0,Economically Disadvantaged,2,2,4,,,
11,Clinton,15,South Clinton Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
11,Clinton,15,South Clinton Elementary,K8,0,Hispanic,,,,,,
11,Clinton,15,South Clinton Elementary,K8,0,Students with Disabilities,,2,4,,,
11,Clinton,15,South Clinton Elementary,K8,,Subgroups,2,2,4,,,
11,Clinton,15,South Clinton Elementary,K8,0,Super Subgroup,2,2,,,,
11,Clinton,15,South Clinton Elementary,K8,0,White,4,2,4,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,All Students,4,4,4,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,American Indian or Alaska Native,,,,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,Asian,,,,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,Black or African American,2,4,2,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,Black/Hispanic/Native American,2,4,4,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,Economically Disadvantaged,3,4,4,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,Hispanic,,3,4,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,Students with Disabilities,,3,3,,,
12,Oak Ridge,15,Glenwood Elementary,K8,,Subgroups,2.5,3.666666667,3.666666667,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,Super Subgroup,2,4,,,,
12,Oak Ridge,15,Glenwood Elementary,K8,0,White,4,4,4,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,All Students,3,4,2,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,American Indian or Alaska Native,,,,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,Asian,4,4,4,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,Black or African American,2,3,4,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,Black/Hispanic/Native American,3,2,3,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,Economically Disadvantaged,3,2,2,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,English Learners with Transitional 1-4,,3,,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,Hispanic,3,2,2,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,Students with Disabilities,3,4,3,,,
12,Oak Ridge,25,Jefferson Middle School,K8,,Subgroups,3,2.75,2.666666667,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,Super Subgroup,3,3,,,,
12,Oak Ridge,25,Jefferson Middle School,K8,0,White,4,3,2,,,
12,Oak Ridge,30,Linden Elementary,K8,0,All Students,3,3,3,,,
12,Oak Ridge,30,Linden Elementary,K8,0,American Indian or Alaska Native,,,,,,
12,Oak Ridge,30,Linden Elementary,K8,0,Asian,,,,,,
12,Oak Ridge,30,Linden Elementary,K8,0,Black or African American,,2,2,,,
12,Oak Ridge,30,Linden Elementary,K8,0,Black/Hispanic/Native American,2,2,2,,,
12,Oak Ridge,30,Linden Elementary,K8,0,Economically Disadvantaged,4,2,4,,,
12,Oak Ridge,30,Linden Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
12,Oak Ridge,30,Linden Elementary,K8,0,Hispanic,,1,,,,
12,Oak Ridge,30,Linden Elementary,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
12,Oak Ridge,30,Linden Elementary,K8,0,Students with Disabilities,,2,4,,,
12,Oak Ridge,30,Linden Elementary,K8,,Subgroups,3,2,3.333333333,,,
12,Oak Ridge,30,Linden Elementary,K8,0,Super Subgroup,4,3,,,,
12,Oak Ridge,30,Linden Elementary,K8,0,White,4,3,4,,,
12,Oak Ridge,35,Oak Ridge High School,HS,0,All Students,3,4,4,2,4,1
12,Oak Ridge,35,Oak Ridge High School,HS,0,American Indian or Alaska Native,,,,,,
12,Oak Ridge,35,Oak Ridge High School,HS,0,Asian,,2,4,,,
12,Oak Ridge,35,Oak Ridge High School,HS,0,Black or African American,2,1,2,2,3,
12,Oak Ridge,35,Oak Ridge High School,HS,0,Black/Hispanic/Native American,3,2,4,2,4,1
12,Oak Ridge,35,Oak Ridge High School,HS,0,Economically Disadvantaged,2,3,4,1,3,
12,Oak Ridge,35,Oak Ridge High School,HS,0,English Learners with Transitional 1-4,,,,,,1
12,Oak Ridge,35,Oak Ridge High School,HS,0,Hispanic,4,3,4,,,1
12,Oak Ridge,35,Oak Ridge High School,HS,0,Native Hawaiian or Other Pacific Islander,,,,,,
12,Oak Ridge,35,Oak Ridge High School,HS,0,Students with Disabilities,2,1,4,0,0,
12,Oak Ridge,35,Oak Ridge High School,HS,,Subgroups,2.333333333,2,4,1,2.333333333,1
12,Oak Ridge,35,Oak Ridge High School,HS,0,Super Subgroup,2,3,,,3,
12,Oak Ridge,35,Oak Ridge High School,HS,0,White,3,4,4,2,4,
12,Oak Ridge,40,Robertsville Middle School,K8,0,All Students,3,4,2,,,1
12,Oak Ridge,40,Robertsville Middle School,K8,0,American Indian or Alaska Native,,,,,,
12,Oak Ridge,40,Robertsville Middle School,K8,0,Asian,,,,,,
12,Oak Ridge,40,Robertsville Middle School,K8,0,Black or African American,2,3,4,,,
12,Oak Ridge,40,Robertsville Middle School,K8,0,Black/Hispanic/Native American,2,3,3,,,1
12,Oak Ridge,40,Robertsville Middle School,K8,0,Economically Disadvantaged,2,3,4,,,
12,Oak Ridge,40,Robertsville Middle School,K8,0,English Learners with Transitional 1-4,,3,,,,1
12,Oak Ridge,40,Robertsville Middle School,K8,0,Hispanic,2,2,2,,,1
12,Oak Ridge,40,Robertsville Middle School,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
12,Oak Ridge,40,Robertsville Middle School,K8,0,Students with Disabilities,1,4,0,,,
12,Oak Ridge,40,Robertsville Middle School,K8,,Subgroups,1.666666667,3.25,2.333333333,,,1
12,Oak Ridge,40,Robertsville Middle School,K8,0,Super Subgroup,2,3,,,,
12,Oak Ridge,40,Robertsville Middle School,K8,0,White,3,4,3,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,All Students,1,2,4,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,American Indian or Alaska Native,,,,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,Asian,,,,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,Black or African American,2,1,3,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,Black/Hispanic/Native American,2,1,2,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,Economically Disadvantaged,2,1,4,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,English Learners with Transitional 1-4,,,,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,Hispanic,,2,2,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,Students with Disabilities,2,2,4,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,,Subgroups,2,1.333333333,3.333333333,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,Super Subgroup,2,2,,,,
12,Oak Ridge,45,Willow Brook Elementary,K8,0,White,1,2,4,,,
12,Oak Ridge,50,Woodland Elementary,K8,0,All Students,4,4,4,,,4
12,Oak Ridge,50,Woodland Elementary,K8,0,American Indian or Alaska Native,,,,,,
12,Oak Ridge,50,Woodland Elementary,K8,0,Asian,,3,4,,,
12,Oak Ridge,50,Woodland Elementary,K8,0,Black or African American,,2,4,,,
12,Oak Ridge,50,Woodland Elementary,K8,0,Black/Hispanic/Native American,3,4,4,,,
12,Oak Ridge,50,Woodland Elementary,K8,0,Economically Disadvantaged,4,4,4,,,
12,Oak Ridge,50,Woodland Elementary,K8,0,English Learners with Transitional 1-4,,4,4,,,4
12,Oak Ridge,50,Woodland Elementary,K8,0,Hispanic,,4,3,,,
12,Oak Ridge,50,Woodland Elementary,K8,0,Students with Disabilities,,3,2,,,
12,Oak Ridge,50,Woodland Elementary,K8,,Subgroups,3.5,3.75,3.5,,,4
12,Oak Ridge,50,Woodland Elementary,K8,0,Super Subgroup,3,4,,,,
12,Oak Ridge,50,Woodland Elementary,K8,0,White,4,4,4,,,
20,Bedford County,12,Cascade Elementary,K8,0,All Students,4,1,4,,,
20,Bedford County,12,Cascade Elementary,K8,0,Asian,,,,,,
20,Bedford County,12,Cascade Elementary,K8,0,Black or African American,,,,,,
20,Bedford County,12,Cascade Elementary,K8,0,Black/Hispanic/Native American,4,2,4,,,
20,Bedford County,12,Cascade Elementary,K8,0,Economically Disadvantaged,2,2,4,,,
20,Bedford County,12,Cascade Elementary,K8,0,English Learners with Transitional 1-4,,2,,,,
20,Bedford County,12,Cascade Elementary,K8,0,Hispanic,,2,4,,,
20,Bedford County,12,Cascade Elementary,K8,0,Native Hawaiian or Other Pacific Islander,,,,,,
20,Bedford County,12,Cascade Elementary,K8,0,Students with Disabilities,,3,4,,,
20,Bedford County,12,Cascade Elementary,K8,,Subgroups,3,2.25,4,,,
20,Bedford County,12,Cascade Elementary,K8,0,Super Subgroup,3,2,,,,
20,Bedford County,12,Cascade Elementary,K8,0,White,4,2,4,,,
20,Bedford County,13,Cascade High School,HS,0,All Students,2,0,2,3,4,
20,Bedford County,13,Cascade High School,HS,0,American Indian or Alaska Native,,,,,,
20,Bedford County,13,Cascade High School,HS,0,Asian,,,,,,
20,Bedford County,13,Cascade High School,HS,0,Black or African American,,,,,,
20,Bedford County,13,Cascade High School,HS,0,Black/Hispanic/Native American,2,2,1,,,
20,Bedford County,13,Cascade High School,HS,0,Economically Disadvantaged,2,2,1,,,
20,Bedford County,13,Cascade High School,HS,0,English Learners with Transitional 1-4,,,,,,
20,Bedford County,13,Cascade High School,HS,0,Hispanic,,2,1,,,
20,Bedford County,13,Cascade High School,HS,0,Native Hawaiian or Other Pacific Islander,,,,,,
20,Bedford County,13,Cascade High School,HS,0,Students with Disabilities,,2,1,,,
20,Bedford County,13,Cascade High School,HS,,Subgroups,2,2,1,,,
20,Bedford County,13,Cascade High School,HS,0,Super Subgroup,2,2,,,3,
20,Bedford County,13,Cascade High School,HS,0,White,2,0,2,4,4,
20,Bedford County,15,Eakin Elementary,K8,0,All Students,1,0,4,,,2
20,Bedford County,15,Eakin Elementary,K8,0,American Indian or Alaska Native,,,,,,
20,Bedford County,15,Eakin Elementary,K8,0,Asian,,,,,,
20,Bedford County,15,Eakin Elementary,K8,0,Black or African American,1,2,4,,,
20,Bedford County,15,Eakin Elementary,K8,0,Black/Hispanic/Native American,1,1,4,,,2
20,Bedford County,15,Eakin Elementary,K8,0,Economically Disadvantaged,1,0,4,,,2
20,Bedford County,15,Eakin Elementary,K8,0,English Learners with Transitional 1-4,3,1,4,,,2
20,Bedford County,15,Eakin Elementary,K8,0,Hispanic,2,0,4,,,2
20,Bedford County,15,Eakin Elementary,K8,0,Students with Disabilities,,1,3,,,
20,Bedford County,15,Eakin Elementary,K8,,Subgroups,1.666666667,0.75,3.75,,,2
