stop,route,location,lat,lng
MAINSTREAM DR & FREELAND ST RD NB,METROCENTER,"(36.195894, -86.817635)",36.195894,-86.817635
OLD HICKORY BLVD & SOUTHFORK BLVD SB,OLD HICKORY,"(36.221033, -86.625062)",36.221033,-86.625062
JEFFERSON ST & ED TEMPLE BLVD WB,UNIVERSITY CONNECTOR,"(36.167813, -86.820382)",36.167813,-86.820382
BELL RD & BENZING RD WB,HICKORY HOLLOW-LENOX EXPRESS,"(36.04539, -86.701416)",36.04539,-86.701416
BELL RD & HICKORY PARK DR WB,HICKORY HOLLOW-LENOX EXPRESS,"(36.04488, -86.669901)",36.04488,-86.669901
SHACKLEFORD RD & LONE OAK RD WB,BELMONT,"(36.102139, -86.808542)",36.102139,-86.808542
EWING DR & RICHMOND HILL DR EB,DICKERSON ROAD,"(36.230288, -86.773922)",36.230288,-86.773922
NOLENSVILLE PIKE & TUSCULUM RD SB,NOLENSVILLE PK BRT LITE,"(36.059105, -86.716445)",36.059105,-86.716445
DICKERSON PIKE & HILLHURST DR SB,DICKERSON ROAD,"(36.226044, -86.760219)",36.226044,-86.760219
N GALLATIN PIKE & ARDEE AVE NB,GALLATIN PIKE,"(36.219347, -86.72754)",36.219347,-86.72754
4TH AVE & ARCADE SB,LEBANON PIKE,"(36.164616, -86.779573)",36.164616,-86.779573
HARDING PIKE & PAGE RD SB,WEST END - BELLEVUE,"(36.100407, -86.871185)",36.100407,-86.871185
MAPLEWOOD TRC & WALTON LN EB,HICKORY HILLS,"(36.232267, -86.753084)",36.232267,-86.753084
JEFFERSON ST & 14TH AVE N EB,MUSIC CITY BLUE CIRCUIT,"(36.170732, -86.801437)",36.170732,-86.801437
MERIDIAN ST & CLEVELAND ST NB,MERIDIAN,"(36.186902, -86.768026)",36.186902,-86.768026
RIVERWOOD DR & PLYMOUTH AVE WB,SCOTT,"(36.222369, -86.719039)",36.222369,-86.719039
ANDERSON RD & PRIEST LAKE DR NB,ANTIOCH EXPRESS,"(36.090586, -86.606347)",36.090586,-86.606347
GALLATIN PIKE & OAK ST SB,GALLATIN PIKE,"(36.216374, -86.729271)",36.216374,-86.729271
ANDREW JACKSON PKWY & TYLER DR NB,LEBANON PIKE,"(36.197284, -86.608466)",36.197284,-86.608466
2ND AVE & KOREAN VETS BLVD NB,MURFREESBORO PIKE,"(36.157875, -86.772552)",36.157875,-86.772552
WHITE BRIDGE PIKE & BROOKWOOD PL NB,WEST END - WHITE BRIDGE,"(36.132157, -86.857574)",36.132157,-86.857574
SCOTT AVE & KELLER AVE SB,SCOTT,"(36.203224, -86.732445)",36.203224,-86.732445
HERMAN ST & 22ND AVE EB,HERMAN,"(36.162301, -86.810251)",36.162301,-86.810251
LEBANON PIKE & JACKSON DOWNS BLV D,LEBANON PIKE,"(36.182108, -86.640891)",36.182108,-86.640891
HERMAN ST & 17TH AVE N WB,HERMAN,"(36.164758, -86.802109)",36.164758,-86.802109
NOLENSVILLE PIKE & TAYLOR RD WB,NOLENSVILLE PK BRT LITE,"(36.069631, -86.720726)",36.069631,-86.720726
E THOMPSON LN & BROWNING RD SB,THOMPSON CONNECTOR,"(36.120599, -86.718195)",36.120599,-86.718195
21ST AVE S & CHILDRENS WAY NB,HILLSBORO,"(36.138372, -86.800622)",36.138372,-86.800622
CHARLOTTE AVE & 31ST AVE N EB,CHARLOTTE,"(36.153181, -86.821371)",36.153181,-86.821371
WAL MART - O.H. & NOLENSVILLE PIKE,HICKORY HOLLOW-LENOX EXPRESS,"(36.040995, -86.710992)",36.040995,-86.710992
12TH AVE S & ASHWOOD AVE SB,12TH AVENUE SOUTH,"(36.128444, -86.789105)",36.128444,-86.789105
25TH AVE N & DELK AVE NB,ST. CECILIA - CUMBERLAND,"(36.178282, -86.816675)",36.178282,-86.816675
STEWARTS FERRY PKWY & BLACKWOOD DR SB,ANTIOCH EXPRESS,"(36.152332, -86.625169)",36.152332,-86.625169
CHESTNUT ST & 8TH AVE S WB,MIDTOWN,"(36.141776, -86.778352)",36.141776,-86.778352
CLARKSVILLE PIKE & CLIFF DR SB,BORDEAUX,"(36.192341, -86.829181)",36.192341,-86.829181
BELMONT BLVD & COMPTON AVE NB,BELMONT,"(36.13089, -86.795485)",36.13089,-86.795485
RURAL HILL RD & PRIEST LAKE DR WB,ANTIOCH EXPRESS,"(36.079436, -86.628392)",36.079436,-86.628392
2ND AVE N & JUNIOR GILLIAM WAY SB,METROCENTER,"(36.174197, -86.782949)",36.174197,-86.782949
NASHVILLE WEST STATION OUTBOUND,CHARLOTTE,"(36.134638, -86.888654)",36.134638,-86.888654
21 ST AVE N & MEHARRY BLVD NB,UNIVERSITY CONNECTOR,"(36.16748, -86.809233)",36.16748,-86.809233
MONTGOMERY AVE & BLUE RIDGE AVE NB,McFERRIN,"(36.196972, -86.755197)",36.196972,-86.755197
WEST END AVE & 19TH AVE S EB,WEST END - WHITE BRIDGE,"(36.152168, -86.797482)",36.152168,-86.797482
ROSEBANK AVE & TRAUGHBER DR NB,SHELBY,"(36.195094, -86.708469)",36.195094,-86.708469
HUNTERS LN & DALMERE DR SB,HICKORY HILLS,"(36.27992, -86.756424)",36.27992,-86.756424
MCGAVOCK PIKE & CENTURY BLVD SB,AIRPORT - DOWNTOWN HOTELS,"(36.149153, -86.683907)",36.149153,-86.683907
BRICKMONT DR & CHESAPEAKE DR NB,DICKERSON ROAD,"(36.245431, -86.768844)",36.245431,-86.768844
MASSMAN DR & PATRICIA DR NB,THOMPSON CONNECTOR,"(36.134916, -86.704613)",36.134916,-86.704613
MUSIC CITY CIRCUIT FARMERS MARKET S,MUSIC CITY GREEN CIRCUIT,"(36.168505, -86.788052)",36.168505,-86.788052
TROUSDALE DR & ELYSIAN FIELDS RD NB,GRASSMERE-EDMONDSON CONNECTOR,"(36.085954, -86.75451)",36.085954,-86.75451
PICCADILLY ROW & BISHOPGATE RD WB,ANTIOCH EXPRESS,"(36.078591, -86.659934)",36.078591,-86.659934
23RD AVE N & CLARKSVILLE PIKE NB,BORDEAUX,"(36.18348, -86.81422)",36.18348,-86.81422
HADLEY AVE & DONELSON AVE SB,OLD HICKORY,"(36.263524, -86.647872)",36.263524,-86.647872
DR DB TODD JR BLVD & HERMOSA ST SB,MIDTOWN,"(36.164472, -86.804654)",36.164472,-86.804654
10TH AVE S & LAWRENCE AVE SB,12TH AVENUE SOUTH,"(36.129014, -86.786086)",36.129014,-86.786086
8TH AVE S & SHIRLEY ST SB,MURFREESBORO EXPRESS,"(36.155187, -86.77982)",36.155187,-86.77982
CLARKSVILLE PIKE & ASHTON CITY HWY,BORDEAUX,"(36.198516, -86.838365)",36.198516,-86.838365
DELTA AVE & TAYLOR ST SB,BORDEAUX,"(36.176626, -86.79428)",36.176626,-86.79428
ROSEBANK AVE & DALEBROOK LN WB,SHELBY,"(36.186592, -86.720147)",36.186592,-86.720147
DICKERSON PIKE & EVANSON AVE SB,DICKERSON ROAD,"(36.190474, -86.77296)",36.190474,-86.77296
BELL RD & HICKORY HOLLOW PKWY EB,HICKORY HOLLOW-LENOX EXPRESS,"(36.047277, -86.656155)",36.047277,-86.656155
DICKERSON PIKE & MULBERRY DOWNS CIR,HICKORY HILLS,"(36.25167, -86.757501)",36.25167,-86.757501
ANNEX AVE & CHARLOTTE PIKE WB,CHARLOTTE,"(36.139798, -86.881237)",36.139798,-86.881237
ELM HILL PIKE & ROYAL PKWY EB,AIRPORT - DOWNTOWN HOTELS,"(36.151668, -86.677224)",36.151668,-86.677224
CREEKWOOD DR & OAKVIEW DR SB,DICKERSON ROAD,"(36.234315, -86.767589)",36.234315,-86.767589
OLD HICKORY BLVD & BRENTWOOD CHASE DR EB,TUSCULUM - McMURRAY EXPRESS,"(36.039628, -86.759489)",36.039628,-86.759489
11TH AVE / N GULCH STATION OUTBOUND,100 OAKS,"(36.162249, -86.790464)",36.162249,-86.790464
GALLATIN PIKE & ROOSEVELT AVE SB,GALLATIN PIKE,"(36.271168, -86.710472)",36.271168,-86.710472
MURFREESBORO PIKE & FOSTER AVE EB,MURFREESBORO PIKE,"(36.141557, -86.740817)",36.141557,-86.740817
ARDEE AVE & GALLATIN PIKE EB,SCOTT,"(36.219311, -86.727012)",36.219311,-86.727012
LEBANON PIKE & LISA LN  WB,LEBANON PIKE,"(36.159527, -86.703951)",36.159527,-86.703951
MAGNOLIA BLVD & DOROTHY PL NB,BELMONT,"(36.137078, -86.794499)",36.137078,-86.794499
ANDERSON RD & WILFORD PACK DR WB,ANTIOCH EXPRESS,"(36.073067, -86.614488)",36.073067,-86.614488
NOLENSVILLE  PK & BREWER DR,NOLENSVILLE PK BRT LITE,"(36.053735, -86.715196)",36.053735,-86.715196
16TH ST & WOODLAND ST NB,SHELBY,"(36.176735, -86.741876)",36.176735,-86.741876
CHESTNUT & 1ST AVE WB,MIDTOWN,"(36.14638, -86.763375)",36.14638,-86.763375
BELL RD & ELM HILL PIKE NB,ANTIOCH EXPRESS,"(36.140995, -86.627918)",36.140995,-86.627918
HERMAN ST & 12TH AVE N EB,HERMAN,"(36.167152, -86.796343)",36.167152,-86.796343
HWY 70 S & SAWYER BROWN RD EB,WEST END - BELLEVUE,"(36.076953, -86.94581)",36.076953,-86.94581
OTAY ST & SCOTT AVE WB,SCOTT,"(36.199009, -86.73293)",36.199009,-86.73293
MURFREESBORO PIKE & SPENCE LN EB,MURFREESBORO PIKE,"(36.135661, -86.725098)",36.135661,-86.725098
LEBANON PIKE & GRAYLNN DR WB,LEBANON PIKE,"(36.169933, -86.674357)",36.169933,-86.674357
3RD AVE N & GARFIELD ST NB,METROCENTER,"(36.183082, -86.789838)",36.183082,-86.789838
LEBANON PIKE & FAIRWAY DR EB,LEBANON PIKE,"(36.168866, -86.683426)",36.168866,-86.683426
5TH AVE & DEMONBREUN ST NB,MUSIC CITY GREEN CIRCUIT,"(36.158589, -86.777139)",36.158589,-86.777139
OPRY MILLS SHOPPING CENTER,OPRY MILLS,"(36.20849, -86.698377)",36.20849,-86.698377
DUPONT-HADLEY MIDDLE SCHOOL,OLD HICKORY,"(36.249225, -86.643417)",36.249225,-86.643417
DOVERSIDE DR & MOOREWOOD DR WB,DICKERSON ROAD,"(36.240374, -86.772655)",36.240374,-86.772655
GALLATIN PIKE & LAKEWOOD DR NB,GALLATIN PIKE,"(36.244354, -86.722479)",36.244354,-86.722479
ROSEBANK AVE & BEECHMONT PL EB,SHELBY,"(36.186611, -86.72256)",36.186611,-86.72256
FRENCH LANDING DR & VANTAGE WAY SB,METROCENTER,"(36.190358, -86.79748)",36.190358,-86.79748
31ST AVE N & LONG BLVD SB,UNIVERSITY CONNECTOR,"(36.146548, -86.816414)",36.146548,-86.816414
WEST END AVE & ELMINGTON AVE EB,WEST END - WHITE BRIDGE,"(36.13499, -86.823993)",36.13499,-86.823993
BUCHANAN ST & 11TH AVE N WB,BORDEAUX,"(36.18041, -86.804368)",36.18041,-86.804368
12TH AVE S & HORTON AVE NB,12TH AVENUE SOUTH,"(36.139606, -86.787525)",36.139606,-86.787525
CLIFTON AVE & 39TH AVE N WB,HERMAN,"(36.157723, -86.830237)",36.157723,-86.830237
EWING DR & RICH ACRES DR WB,DICKERSON ROAD,"(36.230582, -86.765423)",36.230582,-86.765423
PARKWOOD PARK (VAILVIEW DR & BRICKDALE LN) SB,DICKERSON ROAD,"(36.235458, -86.773046)",36.235458,-86.773046
8TH AVE S & DEMONBREUN ST SB,100 OAKS,"(36.156975, -86.780929)",36.156975,-86.780929
AUTHUR AVE & BUCHNANA ST NB,ST. CECILIA - CUMBERLAND,"(36.179419, -86.803705)",36.179419,-86.803705
N GALLATIN PIKE & EDGEMEADE BLVD NB,GALLATIN PIKE,"(36.283273, -86.706955)",36.283273,-86.706955
NASHVILLE INTERNATIONAL AIRPORT,AIRPORT - DOWNTOWN HOTELS,"(36.130853, -86.668146)",36.130853,-86.668146
OLD HICKORY BLVD & CENTER ST NB,OLD HICKORY,"(36.225143, -86.625445)",36.225143,-86.625445
8TH AVE N & LOCKLAYER ST SB,BORDEAUX,"(36.170063, -86.789411)",36.170063,-86.789411
EASTLAND STATION OUTBOUND,GALLATIN PIKE,"(36.183987, -86.748178)",36.183987,-86.748178
20TH AVE N & STATE ST,MIDTOWN,"(36.154615, -86.801666)",36.154615,-86.801666
BAUGH RD & COLLICE JEANNE RD EB,WEST END - BELLEVUE,"(36.069156, -86.93369)",36.069156,-86.93369
BAUGH RD & SHEFFIELD SQ EB,WEST END - BELLEVUE,"(36.068909, -86.937969)",36.068909,-86.937969
CHARLES DAVID BLVD & FAIN ST NB,MIDTOWN,"(36.151873, -86.761954)",36.151873,-86.761954
ALBION ST & 21ST AVE N EB,HERMAN,"(36.165766, -86.80866)",36.165766,-86.80866
EAST HILL STATION INBOUND,GALLATIN PIKE,"(36.203663, -86.738539)",36.203663,-86.738539
BLAKEMORE AVE & 25TH AVE S EB,UNIVERSITY CONNECTOR,"(36.138211, -86.807159)",36.138211,-86.807159
LEBANON PIKE & MONACO DR NB,LEBANON PIKE,"(36.206181, -86.61293)",36.206181,-86.61293
OCALA DR & EULALA DR EB,TUSCULUM - McMURRAY EXPRESS,"(36.051372, -86.702821)",36.051372,-86.702821
21ST AVE S & CAPERS AVE SB,HILLSBORO,"(36.138881, -86.800622)",36.138881,-86.800622
WEST END AVE & 17TH AVE S WB,WEST END - WHITE BRIDGE,"(36.153941, -86.794329)",36.153941,-86.794329
MADISON STATION INBOUND,GALLATIN PIKE,"(36.257412, -86.714068)",36.257412,-86.714068
NEIL AVE & SMILEY ST NB,McFERRIN,"(36.178802, -86.759231)",36.178802,-86.759231
LEBANON PIKE & OMOHUNDRO PL EB,LEBANON PIKE,"(36.153458, -86.733717)",36.153458,-86.733717
ATHENS WAY & DOMINICAN DR SB,ST. CECILIA - CUMBERLAND,"(36.188482, -86.800415)",36.188482,-86.800415
HERMAN ST & 22ND AVE N WB,HERMAN,"(36.162409, -86.810284)",36.162409,-86.810284
OLD HICKORY BLVD & DOUGLAS ST EB,MADISON EXPRESS,"(36.263332, -86.714961)",36.263332,-86.714961
WHITES CREEK PIKE & LUZON ST NB,WHITES CREEK,"(36.210243, -86.796294)",36.210243,-86.796294
HARDING PL & METROPLEX DR WB,NOLENSVILLE PK BRT LITE,"(36.086917, -86.695668)",36.086917,-86.695668
WHITE BRIDGE STATION OUTBOUND,CHARLOTTE,"(36.150052, -86.858652)",36.150052,-86.858652
SANDHURST DR & LONDON BRIDGE RD NB,MADISON CONNECTOR,"(36.261064, -86.678101)",36.261064,-86.678101
MCGAVOCK PIKE & RIVERSIDE DR EB,SCOTT,"(36.204675, -86.724532)",36.204675,-86.724532
RICHARDS RD & DEBRA DR WB,ANTIOCH EXPRESS,"(36.067581, -86.66497)",36.067581,-86.66497
NEELYS BEND RD & TAHLENA AVE EB,MADISON CONNECTOR,"(36.25148, -86.691662)",36.25148,-86.691662
MCFERIN AVE & MANSFIELD ST NB,McFERRIN,"(36.181793, -86.754787)",36.181793,-86.754787
UNION ST & 5TH AVE N WB,LEBANON PIKE,"(36.164688, -86.780997)",36.164688,-86.780997
WOODLAND ST & 10TH ST WB,SCOTT,"(36.176702, -86.75222)",36.176702,-86.75222
TUCKER RD & KINGS LN NB,WHITES CREEK,"(36.219861, -86.826493)",36.219861,-86.826493
BLAKEMORE AVE & 25TH AVE S WB,UNIVERSITY CONNECTOR,"(36.138273, -86.807058)",36.138273,-86.807058
THOMPSON LN & SIMMONS EB,THOMPSON CONNECTOR,"(36.110422, -86.740431)",36.110422,-86.740431
BRICK CHURCH PIKE & FERN AVE SB,GOLDEN VALLEY,"(36.19585, -86.776754)",36.19585,-86.776754
CHAPEL AVE & GREENWOOD AVE NB,SCOTT,"(36.189369, -86.738444)",36.189369,-86.738444
CHARLOTTE AVE & 26TH AVE N WB,CHARLOTTE,"(36.154826, -86.814593)",36.154826,-86.814593
NEIL AVE & SMILEY ST SB,McFERRIN,"(36.179052, -86.759523)",36.179052,-86.759523
CONFERENCE DR & MISSION RIDGE DR SB,RIVERGATE EXPRESS,"(36.31123, -86.697249)",36.31123,-86.697249
ARCHWOOD DR & ANDERSON LN NB,MADISON CONNECTOR,"(36.271947, -86.687387)",36.271947,-86.687387
GALLATIN PIKE & CAHAL AVE SB,GALLATIN PIKE,"(36.196227, -86.742545)",36.196227,-86.742545
JOHN A MERRITT BLVD & 28TH AVE N EB,UNIVERSITY CONNECTOR,"(36.167941, -86.821572)",36.167941,-86.821572
CHARLOTTE PIKE & WESTBORO DR EB,CHARLOTTE,"(36.145886, -86.870864)",36.145886,-86.870864
ZELIDA STATION OUTBOUND,MURFREESBORO PIKE,"(36.055201, -86.642465)",36.055201,-86.642465
21ST AVE S & SCARRITT PL  SB,MIDTOWN,"(36.146239, -86.799626)",36.146239,-86.799626
MURFREESBORO PIKE  & MCGAVOCK PIKE,MURFREESBORO PIKE,"(36.114061, -86.691217)",36.114061,-86.691217
ELM HILL PIKE & ACORN DR NB,AIRPORT - DOWNTOWN HOTELS,"(36.150156, -86.700202)",36.150156,-86.700202
BELL RD & BRENTRIDGE CIR WB,HICKORY HOLLOW-LENOX EXPRESS,"(36.047052, -86.681299)",36.047052,-86.681299
SHELBY AVE & S 5TH ST WB,SHELBY,"(36.167868, -86.761885)",36.167868,-86.761885
BART DR & ALGONQUIN TRL EB,TUSCULUM - McMURRAY EXPRESS,"(36.055932, -86.686686)",36.055932,-86.686686
ANDREW JACKSON PKWY & HIGHLAND VIEW DR SB,LEBANON PIKE,"(36.20704, -86.605671)",36.20704,-86.605671
CLARKSVILLE PIKE & 24TH AVE N NB,UNIVERSITY CONNECTOR,"(36.184747, -86.815544)",36.184747,-86.815544
WEST END AVE & 30TH AVE WB,WEST END - WHITE BRIDGE,"(36.143808, -86.814091)",36.143808,-86.814091
RICHARDS RD & CUMMINGS PARK DR WB,ANTIOCH EXPRESS,"(36.069081, -86.681443)",36.069081,-86.681443
BRICK CHURCH PIKE & CHESAPEAKE DR N,DICKERSON ROAD,"(36.24603, -86.77931)",36.24603,-86.77931
GREENWOOD AVE & CHAPEL AVE WB,SCOTT,"(36.189681, -86.738525)",36.189681,-86.738525
MURFREESBORO PIKE & RURAL HILL RD N,MURFREESBORO PIKE,"(36.075134, -86.639012)",36.075134,-86.639012
33RD AVE N & ALAMEDA ST NB,MUSIC CITY BLUE CIRCUIT,"(36.164685, -86.826313)",36.164685,-86.826313
CLARKSVILLE PIKE & FAIRVIEW DR SB,BORDEAUX,"(36.209909, -86.839283)",36.209909,-86.839283
MAINSTREAM DR & GREAT CIRCLE RD EB,METROCENTER,"(36.199194, -86.80873)",36.199194,-86.80873
MURFREESBORO PIKE & HOBSON PIKE NB,MURFREESBORO RELAX & RIDE,"(36.042829, -86.606415)",36.042829,-86.606415
ROWAN DR & CRAVATH DR EB,WHITES CREEK,"(36.220553, -86.811372)",36.220553,-86.811372
WHITE BRIDGE PIKE & KENDALL DR NB,WEST END - WHITE BRIDGE,"(36.139263, -86.857334)",36.139263,-86.857334
APPLETON DR & MASSMAN DR WB,AIRPORT - DOWNTOWN HOTELS,"(36.151853, -86.70691)",36.151853,-86.70691
HARDING PIKE & BELLE MEADE BLVD NB,WEST END - BELLEVUE,"(36.12112, -86.852883)",36.12112,-86.852883
GREENLAND AVE & MURRAY PL NB,SCOTT,"(36.215893, -86.713298)",36.215893,-86.713298
GALLATIN PIKE & GWYNN DR SB,GALLATIN PIKE,"(36.228221, -86.725299)",36.228221,-86.725299
