ATV_Involved (group),Agency,Agency_Name,Display Sheet,Road_Type,Land_Use,Hour_STR,Latitude_adj,Longitude_adj,View_Dashboard,YTD_0,YTD_1,YTD_2,SUM([Injury]+[Fatality]),Item,SortBy,GIS,Parent,Crash_Desc,Route_adj,tip,Show_on_Map,Collision_Time_adj,Collision_Date_Tooltip,Tooltip_DriverAge,Collision_DOW,Tooltip_DriverFactor,Tooltip_Vehicle,Tooltip_NM,FixTotalRecs,City,Collision_Date,County,Crash_Type (group),Crash_Type,Distracted_Driver (group),Driver_Drinking (group),Driver_Drugged (group),Drowsy_Driver (group),Fatality,First_Harmfu_Event (group),Injury,LargeTruck_Involved (group),Latitude,Light_Condition (group),Longitude,MRN,Motorcycle_Involved (group),Number of Records,Other_Nonmotorist,Pedalcyclist,Pedestrian,SchoolBus,Senior (65-99) (group),Speeding_Involved (group),THPInv,THP_District,Teen (13-19) (group),Unbelted (group),Weather (group)
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,Other,Urban,13,36.0053,-84.2775,View Dashboard,1,0,0,1,Utility Pole,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),W VANDERBILT DR,?,1,13:30,"Sunday, June 9, 2019 @ 13:30",Senior (65-99),Sunday,Unbelted Occupant,None,None,1,Oak Ridge,6/9/2019 1:30:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Utility Pole,1,Null & -,36.0053,Daylight,-84.2775,102414435,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,1-Knoxville,Null & -,Unbelted Occupant,Cloudy
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,State Road,Rural,17,36.02608,-84.07838,View Dashboard,1,0,0,3,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (3 injury/ies), SR-9,?,1,17:17,"Monday, June 24, 2019 @ 17:17",Senior (65-99),Monday,Unbelted Occupant,None,None,1, Not in a City,6/24/2019 5:17:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,3,Null & -,36.02608,Daylight,-84.07838,102427843,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,1-Knoxville,Null & -,Unbelted Occupant,Rain
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,State Road,Urban,14,36.00324,-84.24737,View Dashboard,1,0,0,4,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (4 injury/ies), SR-62,?,1,14:07,"Monday, July 29, 2019 @ 14:07",Senior (65-99),Monday,None,None,None,1,Oak Ridge,7/29/2019 2:07:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,4,Null & -,36.00324,Daylight,-84.24737,102468319,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,State Road,Urban,16,36.02112,-84.16044,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-170,?,1,16:38,"Monday, January 21, 2019 @ 16:38",Senior (65-99),Monday,None,None,None,1,Oak Ridge,1/21/2019 4:38:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,1,Null & -,36.02112,Daylight,-84.16044,102283696,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,1-Knoxville,Null & -,Null & -,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,State Road,Urban,14,36.04097,-84.21687,View Dashboard,1,0,0,3,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (3 injury/ies), SR-95,?,1,14:11,"Friday, January 25, 2019 @ 14:11",Senior (65-99),Friday,None,None,None,1,Oak Ridge,1/25/2019 2:11:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,3,Null & -,36.04097,Daylight,-84.21687,102288355,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,State Road,Rural, 7,36.06105,-84.12334,View Dashboard,1,0,0,3,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (3 injury/ies), SR-9,?,1, 7:19,"Wednesday, October 30, 2019 @  7:19",Senior (65-99),Wednesday,Unbelted Occupant,None,None,1, Not in a City,10/30/2019 7:19:00 AM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,3,Null & -,36.06105,Dark-Not Lighted,-84.12334,102553120,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,1-Knoxville,Null & -,Unbelted Occupant,Clear
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,Other,Rural,21,36.00708,-84.13858,View Dashboard,1,0,0,1,Other Post/Pole Support,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),NEW HENDERSON RD,?,1,21:40,"Thursday, April 18, 2019 @ 21:40",Senior (65-99),Thursday,Unbelted Occupant,None,None,1, Not in a City,4/18/2019 9:40:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Other Post/Pole Support,1,Null & -,36.00708,Dark-Not Lighted,-84.13858,102365791,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,1-Knoxville,Null & -,Unbelted Occupant,Clear
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,Other,Rural,22,36.1699,-84.09064,View Dashboard,1,0,0,2,"Over Turn, Roll Over",1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies),HILLVALE RD,?,1,22:05,"Friday, August 2, 2019 @ 22:05",Senior (65-99),Friday,Unbelted Occupant,None,None,1, Not in a City,8/2/2019 10:05:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,"Over Turn, Roll Over",2,Null & -,36.1699,Dark-Not Lighted,-84.09064,102466312,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,1-Knoxville,Null & -,Unbelted Occupant,Cloudy
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,Other,Urban,17,36.01969,-84.25662,View Dashboard,1,0,0,2,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies),PROVIDENCE RD,?,1,17:47,"Tuesday, February 19, 2019 @ 17:47",Senior (65-99),Tuesday,None,None,None,1,Oak Ridge,2/19/2019 5:47:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,2,Null & -,36.01969,Dark-Lighted,-84.25662,102312129,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,1-Knoxville,Null & -,Null & -,Rain
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,Other,Urban,20,36.03073,-84.23019,View Dashboard,1,0,0,1,Standing Tree,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),OAK RIDGE TPKE ,?,1,20:25,"Monday, November 25, 2019 @ 20:25",Senior (65-99),Monday,"Distracted Driver, Drowsy Driver, Unbelted Occupant",None,None,1,Oak Ridge,11/25/2019 8:25:00 PM,Anderson,Serious Injury,Serious Injury,Distracted Driver,Null & -,Null & -,Drowsy Driver,0,Standing Tree,1,Null & -,36.03073,Dark-Lighted,-84.23019,102580590,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,1-Knoxville,Null & -,Unbelted Occupant,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,State Road,Urban,12,36.01152,-84.26674,View Dashboard,1,0,0,1,Pedestrian,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-95,?,1,12:29,"Tuesday, March 26, 2019 @ 12:29",None,Tuesday,None,None,Pedestrian,1,Oak Ridge,3/26/2019 12:29:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Pedestrian,1,Null & -,36.01152,Daylight,-84.26674,102341744,Null & -,1,-,-,Pedestrian Involved,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Null & -,Cloudy
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,Other,Urban,18,36.03034,-84.25478,View Dashboard,1,0,0,1,Pedestrian,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),NEW YORK AVE,?,1,18:30,"Friday, July 12, 2019 @ 18:30",None,Friday,Unbelted Occupant,None,Pedestrian,1,Oak Ridge,7/12/2019 6:30:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Pedestrian,1,Null & -,36.03034,Daylight,-84.25478,102445804,Null & -,1,-,-,Pedestrian Involved,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Unbelted Occupant,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,Other,Urban,21,36.00136,-84.26031,View Dashboard,1,0,0,1,Pedestrian,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),TUSKEGEE DR ,?,1,21:17,"Sunday, November 24, 2019 @ 21:17",None,Sunday,None,None,Pedestrian,1,Oak Ridge,11/24/2019 9:17:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Pedestrian,1,Null & -,36.00136,Dark-Not Lighted,-84.26031,102578494,Null & -,1,-,-,Pedestrian Involved,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,State Road,Urban, 0,36.21475,-84.16564,View Dashboard,1,0,0,1,Pedestrian,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-116,?,1, 0:20,"Friday, July 12, 2019 @  0:20",None,Friday,Unbelted Occupant,None,Pedestrian,1,Rockytop,7/12/2019 12:20:00 AM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Pedestrian,1,Null & -,36.21475,Dark-Not Lighted,-84.16564,102445907,Null & -,1,-,-,Pedestrian Involved,-,Null & -,Null & -,THP,1-Knoxville,Null & -,Unbelted Occupant,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,Other,Urban, 6,36.0284,-84.2379,View Dashboard,1,0,0,1,Pedestrian,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),CENTRAL AVE ,?,1, 6:59,"Friday, January 11, 2019 @  6:59",None,Friday,None,None,Pedestrian,1,Oak Ridge,1/11/2019 6:59:00 AM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Pedestrian,1,Null & -,36.0284,Dark-Not Lighted,-84.2379,102273512,Null & -,1,-,-,Pedestrian Involved,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,State Road,Urban, 7,36.00241,-84.28997,View Dashboard,1,0,0,1,Pedal-Cycle,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-95,?,1, 7:54,"Saturday, June 29, 2019 @  7:54",None,Saturday,None,None,Pedalcyclist,1,Oak Ridge,6/29/2019 7:54:00 AM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Pedal-Cycle,1,Null & -,36.00241,Daylight,-84.28997,102432220,Null & -,1,-,Pedalcyclist Involved,-,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,OLIVER SPRINGS POLICE DEPT,OLIVER SPRINGS POLICE DEPT,1,State Road,Urban,20,36.0465,-84.31786,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-330,?,1,20:23,"Saturday, July 27, 2019 @ 20:23",None,Saturday,Unbelted Occupant,Motorcycle,None,1,Oliver Springs,7/27/2019 8:23:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,1,Null & -,36.0465,Dusk,-84.31786,102460275,Motorcyclist Involved,1,-,-,-,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Unbelted Occupant,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,State Road,Urban,16,36.00803,-84.27486,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-95,?,1,16:37,"Wednesday, September 25, 2019 @ 16:37",None,Wednesday,Distracted Driver,None,None,1,Oak Ridge,9/25/2019 4:37:00 PM,Anderson,Serious Injury,Serious Injury,Distracted Driver,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,1,Null & -,36.00803,Daylight,-84.27486,102521537,Null & -,1,-,-,-,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,CLINTON POLICE DEPT,CLINTON POLICE DEPT,1,State Road,Urban,15,36.11858,-84.13254,View Dashboard,1,0,0,1,Other Fixed Object,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-9,?,1,15:43,"Wednesday, September 11, 2019 @ 15:43",None,Wednesday,Distracted Driver,None,None,1,Clinton,9/11/2019 3:43:00 PM,Anderson,Serious Injury,Serious Injury,Distracted Driver,Null & -,Null & -,Null & -,0,Other Fixed Object,1,Null & -,36.11858,Daylight,-84.13254,102506080,Null & -,1,-,-,-,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,CLINTON POLICE DEPT,CLINTON POLICE DEPT,1,State Road,Rural,17,36.16469,-84.08467,View Dashboard,1,0,0,2,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies), SR-61,?,1,17:01,"Wednesday, May 1, 2019 @ 17:01",None,Wednesday,None,None,None,1, Not in a City,5/1/2019 5:01:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,2,Null & -,36.16469,Daylight,-84.08467,102377600,Null & -,1,-,-,-,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,OAK RIDGE POLICE DEPT,OAK RIDGE POLICE DEPT,1,State Road,Urban, 8,35.9157,-84.33441,View Dashboard,1,0,0,1,Standing Tree,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-95,?,1, 8:14,"Wednesday, May 1, 2019 @  8:14",None,Wednesday,None,None,None,1,Oak Ridge,5/1/2019 8:14:00 AM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Standing Tree,1,Null & -,35.9157,Daylight,-84.33441,102377818,Null & -,1,-,-,-,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,Interstate,Urban,15,36.23012,-84.15407,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),  I-75,?,1,15:17,"Wednesday, March 6, 2019 @ 15:17",None,Wednesday,None,None,None,1,Rockytop,3/6/2019 3:17:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,1,Null & -,36.23012,Daylight,-84.15407,102323901,Null & -,1,-,-,-,-,Null & -,Null & -,THP,1-Knoxville,Null & -,Null & -,Clear
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,State Road,Rural, 8,36.06982,-84.18759,View Dashboard,1,0,0,2,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies), SR-61,?,1, 8:04,"Wednesday, July 24, 2019 @  8:04",None,Wednesday,Distracted Driver,Large Truck,None,1, Not in a City,7/24/2019 8:04:00 AM,Anderson,Serious Injury,Serious Injury,Distracted Driver,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,2,Large Truck Involved,36.06982,Daylight,-84.18759,102457547,Null & -,1,-,-,-,-,Null & -,Null & -,THP,1-Knoxville,Null & -,Null & -,Clear
Null & -,CLINTON POLICE DEPT,CLINTON POLICE DEPT,1,State Road,Urban,10,36.10776,-84.13141,View Dashboard,1,0,0,2,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies), SR-9,?,1,10:25,"Tuesday, June 25, 2019 @ 10:25",None,Tuesday,None,None,None,1,Clinton,6/25/2019 10:25:00 AM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,2,Null & -,36.10776,Daylight,-84.13141,102428204,Null & -,1,-,-,-,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Null & -,Clear
Null & -,THP District 1 - Knoxville,THP District 1 - Knoxville,1,Interstate,Rural,12,36.23586,-84.16599,View Dashboard,1,0,0,1,Ditch,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),  I-75,?,1,12:57,"Thursday, June 6, 2019 @ 12:57",None,Thursday,None,None,None,1, Not in a City,6/6/2019 12:57:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Ditch,1,Null & -,36.23586,Daylight,-84.16599,102415007,Null & -,1,-,-,-,-,Null & -,Null & -,THP,1-Knoxville,Null & -,Null & -,Cloudy
Null & -,CLINTON POLICE DEPT,CLINTON POLICE DEPT,1,State Road,Rural,17,36.16117,-84.0899,View Dashboard,1,0,0,4,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (4 injury/ies), SR-61,?,1,17:26,"Thursday, April 18, 2019 @ 17:26",None,Thursday,"Driver Used Drug, Unbelted Occupant",None,None,1, Not in a City,4/18/2019 5:26:00 PM,Anderson,Serious Injury,Serious Injury,Null & -,Null & -,Driver has used Drugs,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,4,Null & -,36.16117,Daylight,-84.0899,102369632,Null & -,1,-,-,-,-,Null & -,Null & -,Other,1-Knoxville,Null & -,Unbelted Occupant,Clear
