Area Designation Cde,City,Crash Comments,Collision Date,CY Fatal Crashes,Latitude in Date Range,CY Fatalities,Placeholder,Invalid Lat Long - Crash in Date Range,Collision Dte,Collision Id,Collision Time Txt,County Name,Date Deleted,DEL,Date Range Collision Date,Date Range Fatal Crashes,Early Notification Type,Fatal Case Nbr Txt,ID,Intersect Road Name Suffix Txt,Intersect Road Name Txt,Intersect Road Nbr Txt,Invalid Lat Long - Fatality in Date Range,DateDiffTest,Crash Latitude,Longitude in Date Range,Crash Longitude,Master Record Number,Mile Mark Nmb,Mstr Rec Nbr Txt,Person Type,Rdwy Name Suffix Txt,Rdwy Name Txt,Rdwy Nbr Txt,Relation To Road Cde,Rollover Ind,Route Signing Cde,State Fatal #,School Bus Cde,Speed Ind,THP District,TK or BUS INV,Date Range Fatalities
00,COLUMBIA,,2/12/2015 12:00:00 AM,1,35.62974,1,1,0,2/12/2015 2:05:00 PM,,14:05,Maury,,N,2/12/2015 12:00:00 AM,1,Par,15-0088,26ACA568-AA3E-45F1-9C9F-B01A4E648752,,STATE HWY 50,,0,42,35.62974,-87.09696,-87.09696,100736707,0,100736707,DRIVER,,US HWY 43,,01,Y,03,15-0088,00,,07,T,1
02,FRANKLIN,,2/16/2015 12:00:00 AM,1,35.89831,1,1,0,2/16/2015 9:15:00 PM,,21:15,Williamson,,N,2/16/2015 12:00:00 AM,1,Email,15-0103,C8A9D771-3E79-4B1B-9D71-417D31B701E6,,,,0,46,35.89831,-86.82827,-86.82827,100749699,64.35,100749699,PED,,I 65,,01,N,01,15-0103,00,,03,T,1
02,FRANKLIN,,2/16/2015 12:00:00 AM,1,35.89831,1,1,0,2/16/2015 9:15:00 PM,,21:15,Williamson,,N,2/16/2015 12:00:00 AM,1,Email,15-0103,C6796C6A-763C-4EC9-90E7-AD0863832160,,,,0,46,35.89831,-86.82827,-86.82827,100749699,64.35,100749699,PED,,I 65,,01,N,01,15-0103,00,,03,T,1
00,NA,,2/13/2015 12:00:00 AM,1,35.37402,1,1,0,2/13/2015 5:25:00 PM,,17:25,Sequatchie,,N,2/13/2015 12:00:00 AM,1,Email,15-0090,CEFDCB45-86A2-4D65-85C4-FBFA8D348009,,PARKING LOT,,0,43,35.37402,-85.332222,-85.332222,100750677,0,100750677,DRIVER,,STATE HWY 111,,01,N,03,15-0090,00,,02,T,1
02,NA,,2/26/2015 12:00:00 AM,1,35.039421,1,1,0,2/26/2015 12:17:00 AM,,00:17,Lawrence,,N,2/26/2015 12:00:00 AM,1,Email,15-0110,003E5216-6010-422C-91D0-E2B8FD50CFDB,,MCKINNEY RD,,0,56,35.039421,-87.521599,-87.521599,100754236,0,100754236,PED,,STATE HWY 227,,01,N,02,15-0110,00,,07,T,1
00,CRAB ORCHARD,,2/28/2015 12:00:00 AM,1,35.92471,1,1,0,2/28/2015 3:19:00 AM,,03:19,Cumberland,,N,2/28/2015 12:00:00 AM,1,Par,15-0124,55B1B32C-6ECD-4142-94A7-93671D5F3EF7,,,,0,58,35.92471,-84.91311,-84.91311,100766812,326.8,100766812,DRIVER,,I 40,,01,N,01,15-0124,00,,06,T,1
00,NA,,2/26/2015 12:00:00 AM,1,35.375038,1,1,0,2/26/2015 9:51:00 AM,,09:51,Coffee,,N,2/26/2015 12:00:00 AM,1,Email,15-0111,9DAA7976-73AB-484C-8B9F-F72FB61008CD,,,,0,56,35.375038,-85.973869,-85.973869,100766933,121,100766933,DRIVER,,I 24,,01,N,01,15-0111,00,,02,T,1
01,MURFREESBORO,,3/2/2015 12:00:00 AM,1,35.877499,1,1,0,3/2/2015 11:59:00 AM,,11:59,Rutherford,,N,3/2/2015 12:00:00 AM,1,Par,15-0138,F5FDD193-5744-4DB6-AAC8-95FE0F8CEBA3,,MURFREESBORO MUNICIPAL AIRPORT,,0,60,35.877499,-86.384743,-86.384743,100769457,0,100769457,DRIVER,,US HWY 231,,01,N,02,15-0138,00,,03,T,1
02,NA,,3/6/2015 12:00:00 AM,1,35.2276,1,1,0,3/6/2015 9:10:00 AM,,09:10,Lincoln,,N,3/6/2015 12:00:00 AM,1,Email,15-0131,CF9EB441-13FA-46D7-ABDD-413F25418095,,LOUSE CREEK RD,,0,64,35.2276,-86.4198,-86.4198,100771558,0,100771558,DRIVER,,STATE HWY 50,,01,N,03,15-0131,00,,07,T,1
01,NA,,3/17/2015 12:00:00 AM,1,35.59391,1,1,0,3/17/2015 11:02:00 AM,,11:02,Haywood,,N,3/17/2015 12:00:00 AM,1,Email,15-0156,54AD5310-0658-4A33-BF35-918ADAB9B1FA,,UNNAMED STREET,,0,75,35.59391,-89.312401,-89.312401,100794247,0,100794247,DRIVER,,STATE HWY 54,,02,N,03,15-0156,00,,04,T,1
01,NA,,3/17/2015 12:00:00 AM,1,35.59391,1,1,0,3/17/2015 11:02:00 AM,,11:02,Haywood,,N,3/17/2015 12:00:00 AM,1,Email,15-0156,891D213F-0F66-477E-9217-CA23AC84F2CE,,UNNAMED STREET,,0,75,35.59391,-89.312401,-89.312401,100794247,0,100794247,DRIVER,,STATE HWY 54,,02,N,03,15-0156,00,,04,T,1
01,ROGERSVILLE,,3/23/2015 12:00:00 AM,1,36.419029,1,1,0,3/23/2015 11:10:00 AM,,11:10,Hawkins,,N,3/23/2015 12:00:00 AM,1,Par,15-0170,D5BCD952-EC47-454C-888A-2826D77E8C64,,US HWY 11W,,0,81,36.419029,-82.994537,-82.994537,100798743,0,100798743,DRIVER,,PARK BLVD,,01,N,02,15-0170,00,,05,T,1
02,NA,,4/12/2015 12:00:00 AM,1,36.2192,1,1,0,4/12/2015 4:10:00 PM,,16:10,Cheatham,,N,4/12/2015 12:00:00 AM,1,Email,15-0208,45B4FEBD-2843-4F2A-A600-9166C9DE3B70,,HIDDEN COVE RD,,0,101,36.2192,-87.0488,-87.0488,100807390,0,100807390,PASS,,STATE HWY 249,,01,N,03,15-0208,00,,03,T,1
00,NA,,4/14/2015 12:00:00 AM,1,36.033421,1,1,0,4/14/2015 7:45:00 AM,,07:45,Rutherford,,N,4/14/2015 12:00:00 AM,1,Email,15-0213,064BF617-FFA8-40AF-A372-898C66F09E31,,EXIT 65,,0,103,36.033421,-86.428627,-86.428627,100808186,0,100808186,DRIVER,,STATE HWY 840,,01,N,03,15-0213,00,,03,T,1
02,COOPERTOWN,CITY VERIFIED VIA PHONE,4/14/2015 12:00:00 AM,1,36.41442,1,1,0,4/14/2015 7:10:00 AM,,07:10,Robertson,,N,4/14/2015 12:00:00 AM,1,Email,15-0212,59805FDA-5CC7-41E0-81D4-3F4CFE558AB5,,H YORK RD,,0,103,36.41442,-87.00632,-87.00632,100821392,0,100821392,DRIVER,,STATE HWY 49,,01,N,03,15-0212,00,,03,T,1
00,NA,,4/21/2015 12:00:00 AM,1,35.309959,1,1,0,4/21/2015 9:44:00 AM,,09:44,Bradley,,N,4/21/2015 12:00:00 AM,1,Email,15-0227,611C2EB1-1BA8-48A2-9450-4F2CBCBF1D9C,,LOWER RIVER RD NW,,0,110,35.309959,-84.855652,-84.855652,100824010,0,100824010,DRIVER,,STATE HWY 306,,01,N,03,15-0227,00,,02,T,1
00,NA,,4/28/2015 12:00:00 AM,1,36.143311,1,1,0,4/28/2015 3:42:00 PM,,15:42,Putnam,,N,4/28/2015 12:00:00 AM,1,Par,15-0250,20C28024-761F-4038-8702-F6B9AE8490DE,,,,0,117,36.143311,-85.374931,-85.374931,100826641,294.55,100826641,DRIVER,,I 40,,01,N,01,15-0250,00,,06,T,1
00,NA,,5/13/2015 12:00:00 AM,1,36.000431,1,1,0,5/13/2015 10:20:00 PM,,22:20,Jefferson,,N,5/13/2015 12:00:00 AM,1,Email,15-0282,2D51C082-D2FC-429C-9FD4-FC77618DDA07,,,,0,132,36.000431,-83.549652,-83.549652,100834175,411,100834175,DRIVER,,I 40,,01,N,01,15-0282,00,,05,T,1
00,NA,,5/19/2015 12:00:00 AM,1,36.44614,1,1,0,5/19/2015 12:35:00 AM,,00:35,Campbell,,N,5/19/2015 12:00:00 AM,1,Email,15-0301,7BD27832-C6DB-445C-BA05-B2AA90E4C87D,,,,0,138,36.44614,-84.27512,-84.27512,100837344,147.25,100837344,PED,,I 75,,01,N,01,15-0301,00,,01,T,1
01,CLEVELAND,CITY VERIFIED,5/8/2015 12:00:00 AM,1,35.13408,1,1,0,5/8/2015 8:18:00 AM,,08:18,Bradley,,N,5/8/2015 12:00:00 AM,1,Email,15-0273,1415C3B3-53AD-4308-99CD-0F02EAFF25B1,,GOLDSTAR DR SW,,0,127,35.13408,-84.89851,-84.89851,100849316,0,100849316,DRIVER,,US HWY 64,,01,N,02,15-0273,00,,02,T,1
00,NA,,5/22/2015 12:00:00 AM,1,36.38409,1,1,0,5/22/2015 11:20:00 AM,,11:20,Hawkins,,N,5/22/2015 12:00:00 AM,1,Par,15-0314,77011683-895D-4DA8-8D21-A103047C1FC3,,FOREST HILLS RD,,0,141,36.38409,-83.01362,-83.01362,100849510,0,100849510,DRIVER,,STATE HWY 66,,01,N,03,15-0314,00,,05,T,1
00,CLEVELAND,CITY VERIFIED,5/20/2015 12:00:00 AM,1,35.216869,1,1,0,5/20/2015 11:49:00 AM,,11:49,Bradley,,N,5/20/2015 12:00:00 AM,1,Email,15-0309,F9ADF2D8-7302-40D1-8AD8-4FF50F8A84E4,,US HWY 11,,0,139,35.216869,-84.828934,-84.828934,100851074,0,100851074,DRIVER,,TASSO LN NE,,01,N,02,15-0309,00,,02,T,1
00,NA,,6/6/2015 12:00:00 AM,1,35.52,1,1,0,6/6/2015 2:48:00 AM,,02:48,Williamson,,N,6/6/2015 12:00:00 AM,1,Email,15-0334,AFB6340B-1E72-4D15-AED5-D8FE1DD60723,,,,0,156,35.52,-87.0451,-87.0451,100857049,17,100857049,DRIVER,HWY,HIGHWAY 840,SR840,04,N,03,15-0334,00,,03,T,1
00,NASHVILLE,,5/31/2015 12:00:00 AM,1,36.18642,1,1,0,5/31/2015 11:43:00 PM,,23:43,Davidson,,N,5/31/2015 12:00:00 AM,1,Email,15-0330,DDDB937B-920B-44AB-9D13-BF7DDE8AC058,,COUNTY HOSPITAL RD,,0,150,36.18642,-86.86257,-86.86257,100858272,0,100858272,DRIVER,,STATE HWY 155,,01,N,03,15-0330,00,,03,T,1
00,NA,,6/9/2015 12:00:00 AM,1,35.126011,1,1,0,6/9/2015 11:30:00 PM,,23:30,Hamilton,,N,6/9/2015 12:00:00 AM,1,Email,15-0346,96225629-DB3B-473F-A066-88E0D4207F56,,,,0,159,35.126011,-85.037109,-85.037109,100859306,15,100859306,PED,,I 75,,01,N,01,15-0346,00,,02,T,1
00,NA,,6/9/2015 12:00:00 AM,1,36.04777,1,1,0,6/9/2015 7:53:00 PM,,19:53,Jefferson,,N,6/9/2015 12:00:00 AM,1,Email,15-0343,F6B34A0D-06D1-46F5-98FA-D579F355EA04,,,,0,159,36.04777,-83.41989,-83.41989,100859693,419,100859693,DRIVER,,I 40,,05,N,01,15-0343,00,,05,T,1
00,NA,,6/9/2015 12:00:00 AM,1,35.161831,1,1,0,6/9/2015 9:49:00 AM,,09:49,Bradley,,N,6/9/2015 12:00:00 AM,1,Par,15-0350,D2FC0D76-7CE4-447D-AEB9-B40AAAA9B067,,,,0,159,35.161831,-84.934334,-84.934334,100860140,21.35,100860140,PASS,,I 75,,01,N,01,15-0350,00,,02,T,1
00,NA,,6/15/2015 12:00:00 AM,1,35.05507,1,1,0,6/15/2015 10:40:00 AM,,10:40,Polk,,N,6/15/2015 12:00:00 AM,1,Email,15-0357,54938533-4B5D-4B87-9B5A-3071466CF0D3,,UNNAMED STREET,,0,165,35.05507,-84.45477,-84.45477,100873343,0,100873343,PASS,,US HWY 64,,01,N,02,15-0357,00,,02,T,1
00,NA,,6/15/2015 12:00:00 AM,1,35.05507,1,1,0,6/15/2015 10:40:00 AM,,10:40,Polk,,N,6/15/2015 12:00:00 AM,1,Email,15-0357,E31280B5-EDB3-4897-8E3D-B8099ECD8429,,UNNAMED STREET,,0,165,35.05507,-84.45477,-84.45477,100873343,0,100873343,DRIVER,,US HWY 64,,01,N,02,15-0357,00,,02,T,1
01,LEXINGTON,,6/17/2015 12:00:00 AM,1,35.71714,1,1,0,6/17/2015 2:16:00 AM,7C96FD5B-5EF9-11E6-8301-0050568862A8,02:16,Henderson,,N,6/17/2015 12:00:00 AM,1,Par,15-0373,0FEECC60-C98C-47A9-9785-BA02C25B9F5B,,LONGSOUGHT RD,,0,167,35.71714,-88.38891,-88.38891,100873998,0,100873998,DRIVER,,STATE HWY 22,,01,N,03,15-0373,00,,08,T,1
00,NA,TIME VERIFIED VIA NARRATIVE,6/19/2015 12:00:00 AM,1,35.87,1,1,0,6/19/2015 12:00:00 AM,D1F7A0DA-5B46-11E6-8C57-0050568862AD,24:00,Benton,,N,6/19/2015 12:00:00 AM,1,Par,15-0391,2EE7A682-05FA-4D3C-BF61-620E50070F5D,,,,0,169,35.87,-88.00614,-88.00614,100875741,131,100875741,PED,,I 40,,02,N,01,15-0391,00,,08,T,1
02,NA,TIME VERIFIED VIA PHONE,6/24/2015 12:00:00 AM,1,36.53782,1,1,0,6/24/2015 6:12:00 PM,,18:12,Macon,,N,6/24/2015 12:00:00 AM,1,Email,15-0393,1CB27F76-F968-495A-A7AD-BD11AFC708A0,,COLEYTOWN RD,,0,174,36.53782,-85.98341,-85.98341,100876352,0,100876352,DRIVER,,STATE HWY 261,,01,N,03,15-0393,00,,06,T,1
00,KNOXVILLE,,6/26/2015 12:00:00 AM,1,35.97231,1,1,0,6/26/2015 4:54:00 AM,,04:54,Knox,,N,6/26/2015 12:00:00 AM,1,Par,15-0399,F67FAEE5-0F41-42A0-84DE-E2620B031290,,I 275,,0,176,35.97231,-83.93087,-83.93087,100876825,0,100876825,DRIVER,,RAMP,,01,N,01,15-0399,00,,01,T,1
00,CHATTANOOGA,,6/25/2015 12:00:00 AM,1,35.08674,1,1,0,6/25/2015 7:10:00 PM,,19:10,Hamilton,,N,6/25/2015 12:00:00 AM,1,Par,15-0402,DEA64980-5889-45B7-B7AE-0722BE759C8A,,,,0,175,35.08674,-85.06648,-85.06648,100879366,11.7,100879366,PASS,,I 75,,01,N,01,15-0402,00,,02,T,1
00,CHATTANOOGA,,6/25/2015 12:00:00 AM,1,35.08674,1,1,0,6/25/2015 7:10:00 PM,,19:10,Hamilton,,N,6/25/2015 12:00:00 AM,1,Par,15-0402,A706E119-B035-4647-91AD-31FC2CB56855,,,,0,175,35.08674,-85.06648,-85.06648,100879366,11.7,100879366,DRIVER,,I 75,,01,N,01,15-0402,00,,02,T,1
00,CHATTANOOGA,,6/25/2015 12:00:00 AM,1,35.08674,1,1,0,6/25/2015 7:10:00 PM,,19:10,Hamilton,,N,6/25/2015 12:00:00 AM,1,Par,15-0402,55BA8E5A-17F3-4BDE-9202-7456552F810D,,,,0,175,35.08674,-85.06648,-85.06648,100879366,11.7,100879366,DRIVER,,I 75,,01,N,01,15-0402,00,,02,T,1
00,CHATTANOOGA,,6/25/2015 12:00:00 AM,1,35.08674,1,1,0,6/25/2015 7:10:00 PM,,19:10,Hamilton,,N,6/25/2015 12:00:00 AM,1,Par,15-0402,FE2F39F2-DBB0-4AF0-8EA8-7EB2C3D2B5D3,,,,0,175,35.08674,-85.06648,-85.06648,100879366,11.7,100879366,PASS,,I 75,,01,N,01,15-0402,00,,02,T,1
00,CHATTANOOGA,,6/25/2015 12:00:00 AM,1,35.08674,1,1,0,6/25/2015 7:10:00 PM,,19:10,Hamilton,,N,6/25/2015 12:00:00 AM,1,Par,15-0402,E1717193-C830-472A-BCF2-D2659E654CB4,,,,0,175,35.08674,-85.06648,-85.06648,100879366,11.7,100879366,PASS,,I 75,,01,N,01,15-0402,00,,02,T,1
00,CHATTANOOGA,,6/25/2015 12:00:00 AM,1,35.08674,1,1,0,6/25/2015 7:10:00 PM,,19:10,Hamilton,,N,6/25/2015 12:00:00 AM,1,Par,15-0402,EBF62BE2-BBB7-4CD9-B218-D7B31B92A0AF,,,,0,175,35.08674,-85.06648,-85.06648,100879366,11.7,100879366,DRIVER,,I 75,,01,N,01,15-0402,00,,02,T,1
00,NA,DATE VERIFIED,6/30/2015 12:00:00 AM,1,35.56074,1,1,0,6/30/2015 12:40:00 PM,,12:40,Haywood,,N,6/30/2015 12:00:00 AM,1,Email,15-0400,765AF867-93EE-439F-9B3C-C9283A94D89D,,,,0,180,35.56074,-89.176,-89.176,100881770,60.85,100881770,DRIVER,,I 40,,01,N,01,15-0400,00,,04,T,1
01,ALCOA,CITY VERIFIED,7/17/2015 12:00:00 AM,1,35.84008,1,1,0,7/17/2015 11:00:00 AM,,11:00,Blount,,N,7/17/2015 12:00:00 AM,1,Email,15-0442,F50B69E8-16A7-4C17-AEC2-6A48529F1EF3,,AIRWAY DR,,0,197,35.84008,-83.96896,-83.96896,100911782,0,100911782,DRIVER,,US HWY 129,,01,N,02,15-0442,00,,01,T,1
00,NA,,7/24/2015 12:00:00 AM,1,35.72079,1,1,0,7/24/2015 6:10:00 AM,,06:10,Rutherford,,N,7/24/2015 12:00:00 AM,1,Par,15-0461,52E87458-0E93-4C5A-881F-3A0F76983ACD,,,,0,204,35.72079,-86.31997,-86.31997,100912481,88.9,100912481,DRIVER,,I 24,,01,N,01,15-0461,00,,03,T,1
00,NA,,7/8/2015 12:00:00 AM,1,35.57552,1,1,0,7/8/2015 6:00:00 PM,,18:00,Haywood,,N,7/8/2015 12:00:00 AM,1,Email,15-0423,D10912C2-D5F9-484A-B0A5-FAF6527626AD,,,,0,188,35.57552,-89.12572,-89.12572,100914699,63.9,100914699,PASS,,I 40,,01,N,01,15-0423,00,,04,T,1
00,NA,,7/30/2015 12:00:00 AM,1,36.3308,1,1,0,7/30/2015 5:25:00 AM,,05:25,Overton,,N,7/30/2015 12:00:00 AM,1,Par,15-0482,FC570B75-BAC5-4C11-9F81-7824CA40A356,,MALLORY CIR,,0,210,36.3308,-85.3558,-85.3558,100915113,0,100915113,DRIVER,,STATE HWY 111,,01,N,03,15-0482,00,,06,T,1
02,TOONE,CITY VERIFIED VIA EMAIL,7/22/2015 12:00:00 AM,1,35.36602,1,1,0,7/22/2015 2:14:00 PM,,14:14,Hardeman,,N,7/22/2015 12:00:00 AM,1,Par,15-0490,56CDBDD6-0027-4BF8-892F-4EC4833C24C8,,STATE HWY 100,,0,202,35.36602,-88.96402,-88.96402,100916317,0,100916317,DRIVER,,STATE HWY 138,,01,N,03,15-0490,00,,04,T,1
00,NA,,7/30/2015 12:00:00 AM,1,35.43461,1,1,0,7/30/2015 7:55:00 AM,A6C46274-5412-11E6-8138-0050568862A8,07:55,Meigs,,N,7/30/2015 12:00:00 AM,1,Email,15-0477,7520D05A-AEDD-4AE1-931F-36A6EB564134,,COUNTY ROAD 249,,0,210,35.43461,-84.85264,-84.85264,100917640,0,100917640,DRIVER,,STATE HWY 58,,01,N,03,15-0477,00,,02,T,1
02,NA,,8/7/2015 12:00:00 AM,1,36.40516,1,1,0,8/7/2015 1:36:00 PM,,13:36,Cheatham,,N,8/7/2015 12:00:00 AM,1,Email,15-0496,DD572186-FCD2-429A-88B1-E53B09D5197B,,RUFE SHORES RD,,0,218,36.40516,-87.10819,-87.10819,100920202,0,100920202,DRIVER,,OLD CLARKSVILLE PIKE,,02,N,04,15-0496,00,,03,T,1
01,NASHVILLE,,7/14/2015 12:00:00 AM,1,36.16164,1,1,0,7/14/2015 11:07:00 PM,,23:07,Davidson,,N,7/14/2015 12:00:00 AM,1,Email,15-0433,E81A2435-A427-410D-B17F-D58915470B0D,,5TH AVE N,,0,194,36.16164,-86.77989,-86.77989,100921393,0,100921393,PASS,,COMMERCE ST,,98,N,98,15-0433,00,,03,T,1
01,EASTVIEW,CITY VERIFIED VIA EMAIL,7/29/2015 12:00:00 AM,1,35.07874,1,1,0,7/29/2015 1:30:00 PM,,13:30,McNairy,,N,7/29/2015 12:00:00 AM,1,Email,15-0471,577B7E23-F1AD-4E6C-A00C-39C728E75504,,SYNERGY DR,,0,209,35.07874,-88.54659,-88.54659,100921863,0,100921863,DRIVER,,US HWY 45,,01,N,02,15-0471,00,,08,T,1
00,NA,,8/8/2015 12:00:00 AM,1,35.95873,1,1,0,8/8/2015 2:21:00 PM,,14:21,Cumberland,,N,8/8/2015 12:00:00 AM,1,Par,15-0516,10222BB3-6D23-4E44-81B0-A9F2AB8D2870,,,,0,219,35.95873,-84.97709,-84.97709,100924064,322.6,100924064,DRIVER,,I 40,,01,N,01,15-0516,00,,06,T,1
00,SPRING HILL,,8/13/2015 12:00:00 AM,1,35.77411,1,1,0,8/13/2015 1:35:00 PM,,13:35,Williamson,,N,8/13/2015 12:00:00 AM,1,Email,15-0530,9FA84764-4752-48E7-AEEB-252CB514E39F,,,,0,224,35.77411,-86.8641,-86.8641,100937560,55.3,100937560,DRIVER,,I 65,,02,N,01,15-0530,00,,03,T,1
00,JACKSON,CITY VERIFIED VIA EMAIL,8/15/2015 12:00:00 AM,1,35.65576,1,1,0,8/15/2015 3:30:00 PM,,15:30,Madison,,N,8/15/2015 12:00:00 AM,1,Email,15-0524,00D45F0C-6201-4D4F-9515-A61E375251DC,,,,0,226,35.65576,-88.87688,-88.87688,100938290,78.9,100938290,DRIVER,,I 40,,01,N,01,15-0524,00,,08,T,1
01,NA,FI - FARM EQUIPMENT,8/26/2015 12:00:00 AM,1,36.1722,1,1,0,8/26/2015 8:55:00 PM,,20:55,Union,,N,8/26/2015 12:00:00 AM,1,Email,15-0564,37EBDED7-0FA0-4CDE-976A-788BD10609E8,,HANSARD RD,,0,237,36.1722,-83.90448,-83.90448,100940696,0,100940696,DRIVER,,MAYNARDVILLE HWY,,05,Y,03,15-0564,00,,01,T,1
00,NA,,8/28/2015 12:00:00 AM,1,36.31767,1,1,0,8/28/2015 8:30:00 AM,,08:30,Carter,,N,8/28/2015 12:00:00 AM,1,Par,15-0736,27A8606B-610E-429D-B88E-5D89F50DAC94,,FISH SPRINGS RD,,0,239,36.31767,-82.05858,-82.05858,100941556,0,100941556,DRIVER,,WHALEY TOWN RD,,01,N,,15-0736,00,,05,T,1
00,NA,,8/14/2015 12:00:00 AM,1,35.50101,1,1,0,8/14/2015 3:31:00 PM,C086C738-579B-11E6-8301-0050568862A8,15:31,Rhea,,N,8/14/2015 12:00:00 AM,1,Email,15-0520,7EA38AF6-9F90-4EDC-AC8D-4FD869978364,,STATE HWY 303,,0,225,35.50101,-85.03926,-85.03926,100942602,0,100942602,PASS,,STATE HWY 30,,05,Y,03,15-0520,00,,02,T,1
00,NA,,9/2/2015 12:00:00 AM,1,35.80718,1,1,0,9/2/2015 7:12:00 AM,,07:12,Cannon,,N,9/2/2015 12:00:00 AM,1,Email,15-0587,AC4113EC-6314-4059-A394-100E97411112,,NAVE LN,,0,244,35.80718,-86.04053,-86.04053,100943440,0,100943440,DRIVER,,HILL CREEK RD,,04,Y,04,15-0587,00,,06,T,1
